dokumen,kata,freq,jumlah_kata,tf,df,total_dokumen,idf
dok12,right,1,27,0.037037037037037035,24,1949,4.397017869159615
dok12,so,1,27,0.037037037037037035,164,1949,2.4752052716833624
dok12,start,1,27,0.037037037037037035,56,1949,3.5497200087724115
dok12,stay,1,27,0.037037037037037035,3,1949,6.476459410839451
dok12,stop,1,27,0.037037037037037035,16,1949,4.80248297726778
dok12,subscrib,2,27,0.07407407407407407,272,1949,1.9692696332115633
dok12,want,1,27,0.037037037037037035,74,1949,3.271006606303391
dok12,will,1,27,0.037037037037037035,116,1949,2.821481508401196
dok12,within,1,27,0.037037037037037035,2,1949,6.881924518947615
dok12,you,5,27,0.18518518518518517,395,1949,1.5961859346064389
dok13,url,1,1,1.0,261,1949,2.0105512921848674
dok14,comment,1,3,0.3333333333333333,89,1949,3.086435329775421
dok14,like,1,3,0.3333333333333333,239,1949,2.09860814757605
dok14,subscrib,1,3,0.3333333333333333,272,1949,1.9692696332115633
dok15,like,1,3,0.3333333333333333,239,1949,2.09860814757605
dok15,pleas,1,3,0.3333333333333333,220,1949,2.181444153155199
dok15,url,1,3,0.3333333333333333,261,1949,2.0105512921848674
dok16,abl,1,35,0.02857142857142857,2,1949,6.881924518947615
dok16,all,1,35,0.02857142857142857,85,1949,3.1324204430172444
dok16,also,1,35,0.02857142857142857,30,1949,4.173874317845406
dok16,art,1,35,0.02857142857142857,1,1949,7.575071699507561
dok16,can,1,35,0.02857142857142857,123,1949,2.762887344135143
dok16,channel,1,35,0.02857142857142857,192,1949,2.317576327479779
dok16,check,2,35,0.05714285714285714,480,1949,1.4012855956056243
dok16,cover,1,35,0.02857142857142857,40,1949,3.8861922453936244
dok16,expect,1,35,0.02857142857142857,3,1949,6.476459410839451
dok16,experi,1,35,0.02857142857142857,7,1949,5.629161550452247
dok16,far,1,35,0.02857142857142857,7,1949,5.629161550452247
dok16,game,1,35,0.02857142857142857,14,1949,4.936014369892303
dok16,got,1,35,0.02857142857142857,28,1949,4.242867189332357
dok16,hello,1,35,0.02857142857142857,143,1949,2.6122270692476537
dok16,hope,1,35,0.02857142857142857,20,1949,4.57933942595357
dok16,just,1,35,0.02857142857142857,139,1949,2.640597766376869
dok16,like,1,35,0.02857142857142857,239,1949,2.09860814757605
dok16,lyric,1,35,0.02857142857142857,25,1949,4.35619587463936
dok16,more,1,35,0.02857142857142857,56,1949,3.5497200087724115
dok16,much,2,35,0.05714285714285714,55,1949,3.56773851427509
dok16,pleas,1,35,0.02857142857142857,220,1949,2.181444153155199
dok16,scientif,1,35,0.02857142857142857,1,1949,7.575071699507561
dok16,so,1,35,0.02857142857142857,164,1949,2.4752052716833624
dok16,soon,1,35,0.02857142857142857,25,1949,4.35619587463936
dok16,start,1,35,0.02857142857142857,56,1949,3.5497200087724115
dok16,subscrib,1,35,0.02857142857142857,272,1949,1.9692696332115633
dok16,tutori,1,35,0.02857142857142857,1,1949,7.575071699507561
dok16,video,2,35,0.05714285714285714,373,1949,1.6534932798637454
dok16,will,1,35,0.02857142857142857,116,1949,2.821481508401196
dok16,you,3,35,0.08571428571428572,395,1949,1.5961859346064389
dok17,check,1,4,0.25,480,1949,1.4012855956056243
dok17,i,1,4,0.25,526,1949,1.309770486769851
dok17,onli,1,4,0.25,53,1949,3.604779785955439
dok17,view,1,4,0.25,119,1949,2.7959482063960315
dok18,url,1,1,1.0,261,1949,2.0105512921848674
dok19,url,1,1,1.0,261,1949,2.0105512921848674
dok20,accessori,1,34,0.029411764705882353,1,1949,7.575071699507561
dok20,ani,1,34,0.029411764705882353,38,1949,3.937485539781175
dok20,apparel,1,34,0.029411764705882353,1,1949,7.575071699507561
dok20,bring,1,34,0.029411764705882353,8,1949,5.4956301578277245
dok20,cloth,1,34,0.029411764705882353,2,1949,6.881924518947615
dok20,compani,1,34,0.029411764705882353,4,1949,6.18877733838767
dok20,crop,1,34,0.029411764705882353,1,1949,7.575071699507561
dok20,dedic,1,34,0.029411764705882353,4,1949,6.18877733838767
dok20,design,1,34,0.029411764705882353,2,1949,6.881924518947615
dok20,edm,1,34,0.029411764705882353,3,1949,6.476459410839451
dok20,facebook,1,34,0.029411764705882353,30,1949,4.173874317845406
dok20,festiv,1,34,0.029411764705882353,1,1949,7.575071699507561
dok20,follow,1,34,0.029411764705882353,29,1949,4.207775869521087
dok20,free,1,34,0.029411764705882353,35,1949,4.019723638018147
dok20,giveaway,1,34,0.029411764705882353,2,1949,6.881924518947615
dok20,inspir,1,34,0.029411764705882353,6,1949,5.783312230279506
dok20,instagraml,1,34,0.029411764705882353,1,1949,7.575071699507561
dok20,more,1,34,0.029411764705882353,56,1949,3.5497200087724115
dok20,music,2,34,0.058823529411764705,115,1949,2.830139571144311
dok20,neck,1,34,0.029411764705882353,1,1949,7.575071699507561
dok20,neon,1,34,0.029411764705882353,1,1949,7.575071699507561
dok20,news,1,34,0.029411764705882353,6,1949,5.783312230279506
dok20,oncueapparel,1,34,0.029411764705882353,1,1949,7.575071699507561
dok20,perfect,1,34,0.029411764705882353,10,1949,5.272486606513515
dok20,rave,1,34,0.029411764705882353,1,1949,7.575071699507561
dok20,shirt,1,34,0.029411764705882353,5,1949,5.96563378707346
dok20,site,1,34,0.029411764705882353,16,1949,4.80248297726778
dok20,tank,1,34,0.029411764705882353,1,1949,7.575071699507561
dok20,top,2,34,0.058823529411764705,10,1949,5.272486606513515
dok20,us,1,34,0.029411764705882353,26,1949,4.316975161486079
dok20,visit,1,34,0.029411764705882353,52,1949,3.6238279809261336
dok20,you,1,34,0.029411764705882353,395,1949,1.5961859346064389
dok21,check,1,11,0.09090909090909091,480,1949,1.4012855956056243
dok21,come,1,11,0.09090909090909091,56,1949,3.5497200087724115
dok21,i,1,11,0.09090909090909091,526,1949,1.309770486769851
dok21,million,1,11,0.09090909090909091,31,1949,4.141084495022414
dok21,numer,1,11,0.09090909090909091,415,1949,1.5467931792768626
dok21,onli,1,11,0.09090909090909091,53,1949,3.604779785955439
dok21,peopl,1,11,0.09090909090909091,86,1949,3.120724403254053
dok21,think,1,11,0.09090909090909091,32,1949,4.1093357967078346
dok21,view,2,11,0.18181818181818182,119,1949,2.7959482063960315
dok21,want,1,11,0.09090909090909091,74,1949,3.271006606303391
dok22,channel,1,4,0.25,192,1949,2.317576327479779
dok22,my,1,4,0.25,387,1949,1.616647006477779
dok22,peopl,1,4,0.25,86,1949,3.120724403254053
dok22,subscrib,1,4,0.25,272,1949,1.9692696332115633
dok23,auburn,1,5,0.2,1,1949,7.575071699507561
dok23,pride,1,5,0.2,1,1949,7.575071699507561
dok23,show,1,5,0.2,5,1949,5.96563378707346
dok23,url,1,5,0.2,261,1949,2.0105512921848674
dok23,your,1,5,0.2,112,1949,2.8565728282124665
dok24,check,1,3,0.3333333333333333,480,1949,1.4012855956056243
dok24,just,1,3,0.3333333333333333,139,1949,2.640597766376869
dok24,view,1,3,0.3333333333333333,119,1949,2.7959482063960315
dok25,channel,1,3,0.3333333333333333,192,1949,2.317576327479779
dok25,check,1,3,0.3333333333333333,480,1949,1.4012855956056243
dok25,my,1,3,0.3333333333333333,387,1949,1.616647006477779
dok26,andrijamatf,1,7,0.14285714285714285,1,1949,7.575071699507561
dok26,earn,1,7,0.14285714285714285,9,1949,5.3778471221713415
dok26,game,1,7,0.14285714285714285,14,1949,4.936014369892303
dok26,money,1,7,0.14285714285714285,86,1949,3.120724403254053
dok26,real,1,7,0.14285714285714285,24,1949,4.397017869159615
dok26,strategygam,1,7,0.14285714285714285,1,1949,7.575071699507561
dok26,url,1,7,0.14285714285714285,261,1949,2.0105512921848674
dok27,check,2,31,0.06451612903225806,480,1949,1.4012855956056243
dok27,chiptun,1,31,0.03225806451612903,1,1949,7.575071699507561
dok27,even,1,31,0.03225806451612903,24,1949,4.397017869159615
dok27,gangnamstyl,1,31,0.03225806451612903,1,1949,7.575071699507561
dok27,guy,1,31,0.03225806451612903,120,1949,2.787579956725515
dok27,hello,1,31,0.03225806451612903,143,1949,2.6122270692476537
dok27,i,3,31,0.0967741935483871,526,1949,1.309770486769851
dok27,like,1,31,0.03225806451612903,239,1949,2.09860814757605
dok27,make,1,31,0.03225806451612903,106,1949,2.9116326053954937
dok27,music,2,31,0.06451612903225806,115,1949,2.830139571144311
dok27,my,1,31,0.03225806451612903,387,1949,1.616647006477779
dok27,numer,4,31,0.12903225806451613,415,1949,1.5467931792768626
dok27,old,1,31,0.03225806451612903,56,1949,3.5497200087724115
dok27,produc,1,31,0.03225806451612903,7,1949,5.629161550452247
dok27,remix,2,31,0.06451612903225806,12,1949,5.090165049719561
dok27,some,1,31,0.03225806451612903,41,1949,3.861499632803253
dok27,thank,1,31,0.03225806451612903,126,1949,2.7387897925560827
dok27,wonder,1,31,0.03225806451612903,5,1949,5.96563378707346
dok27,would,2,31,0.06451612903225806,65,1949,3.400684429611924
dok27,year,1,31,0.03225806451612903,66,1949,3.3854169574811355
dok27,you,2,31,0.06451612903225806,395,1949,1.5961859346064389
dok28,check,1,8,0.125,480,1949,1.4012855956056243
dok28,i,2,8,0.25,526,1949,1.309770486769851
dok28,kyle,1,8,0.125,1,1949,7.575071699507561
dok28,me,1,8,0.125,199,1949,2.2817668747830684
dok28,rap,1,8,0.125,33,1949,4.078564138041081
dok28,so,1,8,0.125,164,1949,2.4752052716833624
dok28,yeah,1,8,0.125,9,1949,5.3778471221713415
dok29,anymor,1,12,0.08333333333333333,5,1949,5.96563378707346
dok29,billion,1,12,0.08333333333333333,54,1949,3.5860876529432866
dok29,check,1,12,0.08333333333333333,480,1949,1.4012855956056243
dok29,come,1,12,0.08333333333333333,56,1949,3.5497200087724115
dok29,do not,1,12,0.08333333333333333,25,1949,4.35619587463936
dok29,even,1,12,0.08333333333333333,24,1949,4.397017869159615
dok29,i,2,12,0.16666666666666666,526,1949,1.309770486769851
dok29,just,1,12,0.08333333333333333,139,1949,2.640597766376869
dok29,not,1,12,0.08333333333333333,152,1949,2.5511911786612846
dok29,numer,1,12,0.08333333333333333,415,1949,1.5467931792768626
dok29,watch,1,12,0.08333333333333333,79,1949,3.205623847040539
dok30,android,1,6,0.16666666666666666,2,1949,6.881924518947615
dok30,app,1,6,0.16666666666666666,5,1949,5.96563378707346
dok30,free,1,6,0.16666666666666666,35,1949,4.019723638018147
dok30,game,1,6,0.16666666666666666,14,1949,4.936014369892303
dok30,me,1,6,0.16666666666666666,199,1949,2.2817668747830684
dok30,subscrib,1,6,0.16666666666666666,272,1949,1.9692696332115633
dok31,check,1,10,0.1,480,1949,1.4012855956056243
dok31,come,1,10,0.1,56,1949,3.5497200087724115
dok31,everyon,1,10,0.1,47,1949,3.724924097797502
dok31,king,1,10,0.1,3,1949,6.476459410839451
dok31,luther,1,10,0.1,1,1949,7.575071699507561
dok31,martin,1,10,0.1,2,1949,6.881924518947615
dok31,memori,1,10,0.1,9,1949,5.3778471221713415
dok31,newest,1,10,0.1,3,1949,6.476459410839451
dok31,pleas,1,10,0.1,220,1949,2.181444153155199
dok31,song,1,10,0.1,309,1949,1.8417304226098155
dok32,came,1,4,0.25,11,1949,5.17717642670919
dok32,check,1,4,0.25,480,1949,1.4012855956056243
dok32,goodby,1,4,0.25,1,1949,7.575071699507561
dok32,view,1,4,0.25,119,1949,2.7959482063960315
dok33,channel,1,5,0.2,192,1949,2.317576327479779
dok33,my,1,5,0.2,387,1949,1.616647006477779
dok33,no,1,5,0.2,52,1949,3.6238279809261336
dok33,reason,1,5,0.2,10,1949,5.272486606513515
dok33,subscrib,1,5,0.2,272,1949,1.9692696332115633
dok34,check,1,13,0.07692307692307693,480,1949,1.4012855956056243
dok34,dubstep,1,13,0.07692307692307693,3,1949,6.476459410839451
dok34,firebal,1,13,0.07692307692307693,1,1949,7.575071699507561
dok34,fruiti,1,13,0.07692307692307693,1,1949,7.575071699507561
dok34,i,1,13,0.07692307692307693,526,1949,1.309770486769851
dok34,loop,1,13,0.07692307692307693,1,1949,7.575071699507561
dok34,made,1,13,0.07692307692307693,25,1949,4.35619587463936
dok34,my,1,13,0.07692307692307693,387,1949,1.616647006477779
dok34,realli,1,13,0.07692307692307693,51,1949,3.643246066783235
dok34,song,1,13,0.07692307692307693,309,1949,1.8417304226098155
dok34,time,1,13,0.07692307692307693,65,1949,3.400684429611924
dok34,took,1,13,0.07692307692307693,6,1949,5.783312230279506
dok34,url,1,13,0.07692307692307693,261,1949,2.0105512921848674
dok35,billion,1,4,0.25,54,1949,3.5860876529432866
dok35,come,1,4,0.25,56,1949,3.5497200087724115
dok35,numer,1,4,0.25,415,1949,1.5467931792768626
dok35,soon,1,4,0.25,25,1949,4.35619587463936
dok36,big,1,16,0.0625,13,1949,5.010122342046024
dok36,bomb,1,16,0.0625,1,1949,7.575071699507561
dok36,check,1,16,0.0625,480,1949,1.4012855956056243
dok36,dafuq,1,16,0.0625,1,1949,7.575071699507561
dok36,i,1,16,0.0625,526,1949,1.309770486769851
dok36,korean,2,16,0.125,5,1949,5.96563378707346
dok36,last,1,16,0.0625,8,1949,5.4956301578277245
dok36,mean,1,16,0.0625,26,1949,4.316975161486079
dok36,so,1,16,0.0625,164,1949,2.4752052716833624
dok36,song,1,16,0.0625,309,1949,1.8417304226098155
dok36,support,1,16,0.0625,16,1949,4.80248297726778
dok36,time,1,16,0.0625,65,1949,3.400684429611924
dok36,us,1,16,0.0625,26,1949,4.316975161486079
dok36,usa,1,16,0.0625,1,1949,7.575071699507561
dok36,want,1,16,0.0625,74,1949,3.271006606303391
dok37,best,1,8,0.125,72,1949,3.2984055804915053
dok37,channel,1,8,0.125,192,1949,2.317576327479779
dok37,check,1,8,0.125,480,1949,1.4012855956056243
dok37,ever,1,8,0.125,37,1949,3.9641537868633363
dok37,listen,1,8,0.125,34,1949,4.048711174891399
dok37,music,1,8,0.125,115,1949,2.830139571144311
dok37,my,1,8,0.125,387,1949,1.616647006477779
dok37,pleas,1,8,0.125,220,1949,2.181444153155199
dok38,back,1,26,0.038461538461538464,38,1949,3.937485539781175
dok38,comment,2,26,0.07692307692307693,89,1949,3.086435329775421
dok38,i,1,26,0.038461538461538464,526,1949,1.309770486769851
dok38,i wil,1,26,0.038461538461538464,8,1949,5.4956301578277245
dok38,like,2,26,0.07692307692307693,239,1949,2.09860814757605
dok38,numer,2,26,0.07692307692307693,415,1949,1.5467931792768626
dok38,onli,1,26,0.038461538461538464,53,1949,3.604779785955439
dok38,pleas,3,26,0.11538461538461539,220,1949,2.181444153155199
dok38,second,1,26,0.038461538461538464,20,1949,4.57933942595357
dok38,so,1,26,0.038461538461538464,164,1949,2.4752052716833624
dok38,subscrib,5,26,0.19230769230769232,272,1949,1.9692696332115633
dok38,succesful,1,26,0.038461538461538464,1,1949,7.575071699507561
dok38,take,1,26,0.038461538461538464,43,1949,3.8138715838139983
dok38,thank,1,26,0.038461538461538464,126,1949,2.7387897925560827
dok38,want,1,26,0.038461538461538464,74,1949,3.271006606303391
dok38,you,1,26,0.038461538461538464,395,1949,1.5961859346064389
dok38,youtub,1,26,0.038461538461538464,250,1949,2.0536107816453146
dok39,advic,1,45,0.022222222222222223,1,1949,7.575071699507561
dok39,all,1,45,0.022222222222222223,85,1949,3.1324204430172444
dok39,also,1,45,0.022222222222222223,30,1949,4.173874317845406
dok39,bf4,1,45,0.022222222222222223,1,1949,7.575071699507561
dok39,channel,1,45,0.022222222222222223,192,1949,2.317576327479779
dok39,check,2,45,0.044444444444444446,480,1949,1.4012855956056243
dok39,clip,1,45,0.022222222222222223,5,1949,5.96563378707346
dok39,could,2,45,0.044444444444444446,45,1949,3.768409209737241
dok39,everyon,1,45,0.022222222222222223,47,1949,3.724924097797502
dok39,first,2,45,0.044444444444444446,32,1949,4.1093357967078346
dok39,give,1,45,0.022222222222222223,48,1949,3.70387068859967
dok39,go,1,45,0.022222222222222223,83,1949,3.156231091710963
dok39,grate,1,45,0.022222222222222223,1,1949,7.575071699507561
dok39,hate,1,45,0.022222222222222223,22,1949,4.484029246149245
dok39,hater,1,45,0.022222222222222223,3,1949,6.476459410839451
dok39,hello,1,45,0.022222222222222223,143,1949,2.6122270692476537
dok39,i,5,45,0.1111111111111111,526,1949,1.309770486769851
dok39,improv,1,45,0.022222222222222223,7,1949,5.629161550452247
dok39,just,1,45,0.022222222222222223,139,1949,2.640597766376869
dok39,me,1,45,0.022222222222222223,199,1949,2.2817668747830684
dok39,my,3,45,0.06666666666666667,387,1949,1.616647006477779
dok39,peopl,1,45,0.022222222222222223,86,1949,3.120724403254053
dok39,see,1,45,0.022222222222222223,58,1949,3.5146286889611416
dok39,some,2,45,0.044444444444444446,41,1949,3.861499632803253
dok39,start,1,45,0.022222222222222223,56,1949,3.5497200087724115
dok39,sure,1,45,0.022222222222222223,7,1949,5.629161550452247
dok39,thank,1,45,0.022222222222222223,126,1949,2.7387897925560827
dok39,time,1,45,0.022222222222222223,65,1949,3.400684429611924
dok39,video,1,45,0.022222222222222223,373,1949,1.6534932798637454
dok39,win,1,45,0.022222222222222223,13,1949,5.010122342046024
dok39,would,1,45,0.022222222222222223,65,1949,3.400684429611924
dok39,you,2,45,0.044444444444444446,395,1949,1.5961859346064389
dok39,your,1,45,0.022222222222222223,112,1949,2.8565728282124665
dok39,youtub,1,45,0.022222222222222223,250,1949,2.0536107816453146
dok40,anoth,1,12,0.08333333333333333,3,1949,6.476459410839451
dok40,buy,1,12,0.08333333333333333,9,1949,5.3778471221713415
dok40,can,1,12,0.08333333333333333,123,1949,2.762887344135143
dok40,effect,1,12,0.08333333333333333,2,1949,6.881924518947615
dok40,find,1,12,0.08333333333333333,10,1949,5.272486606513515
dok40,foto,1,12,0.08333333333333333,1,1949,7.575071699507561
dok40,music,1,12,0.08333333333333333,115,1949,2.830139571144311
dok40,project,1,12,0.08333333333333333,4,1949,6.18877733838767
dok40,site,1,12,0.08333333333333333,16,1949,4.80248297726778
dok40,url,1,12,0.08333333333333333,261,1949,2.0105512921848674
dok40,websit,1,12,0.08333333333333333,41,1949,3.861499632803253
dok40,you,1,12,0.08333333333333333,395,1949,1.5961859346064389
dok41,awesom,1,8,0.125,44,1949,3.7908820655892996
dok41,back,1,8,0.125,38,1949,3.937485539781175
dok41,codytolleson,1,8,0.125,1,1949,7.575071699507561
dok41,i,1,8,0.125,526,1949,1.309770486769851
dok41,subscrib,1,8,0.125,272,1949,1.9692696332115633
dok41,video,1,8,0.125,373,1949,1.6534932798637454
dok41,will,1,8,0.125,116,1949,2.821481508401196
dok41,youtub,1,8,0.125,250,1949,2.0536107816453146
dok42,channel,1,11,0.09090909090909091,192,1949,2.317576327479779
dok42,gta5,1,11,0.09090909090909091,1,1949,7.575071699507561
dok42,like,1,11,0.09090909090909091,239,1949,2.09860814757605
dok42,mario,1,11,0.09090909090909091,1,1949,7.575071699507561
dok42,minecraft,1,11,0.09090909090909091,7,1949,5.629161550452247
dok42,my,1,11,0.09090909090909091,387,1949,1.616647006477779
dok42,roblox,1,11,0.09090909090909091,2,1949,6.881924518947615
dok42,subscrib,1,11,0.09090909090909091,272,1949,1.9692696332115633
dok42,warcraft,1,11,0.09090909090909091,1,1949,7.575071699507561
dok42,world,1,11,0.09090909090909091,55,1949,3.56773851427509
dok42,you,1,11,0.09090909090909091,395,1949,1.5961859346064389
dok43,i,1,8,0.125,526,1949,1.309770486769851
dok43,like,1,8,0.125,239,1949,2.09860814757605
dok43,me,1,8,0.125,199,1949,2.2817668747830684
dok43,must,1,8,0.125,8,1949,5.4956301578277245
dok43,subscrib,2,8,0.25,272,1949,1.9692696332115633
dok43,will,1,8,0.125,116,1949,2.821481508401196
dok43,you,1,8,0.125,395,1949,1.5961859346064389
dok44,come,1,6,0.16666666666666666,56,1949,3.5497200087724115
dok44,follow,1,6,0.16666666666666666,29,1949,4.207775869521087
dok44,my,1,6,0.16666666666666666,387,1949,1.616647006477779
dok44,stream,1,6,0.16666666666666666,1,1949,7.575071699507561
dok44,url,1,6,0.16666666666666666,261,1949,2.0105512921848674
dok44,watch,1,6,0.16666666666666666,79,1949,3.205623847040539
dok45,check,1,31,0.03225806451612903,480,1949,1.4012855956056243
dok45,citizen,1,31,0.03225806451612903,1,1949,7.575071699507561
dok45,comment,1,31,0.03225806451612903,89,1949,3.086435329775421
dok45,dizzi,1,31,0.03225806451612903,1,1949,7.575071699507561
dok45,do not,1,31,0.03225806451612903,25,1949,4.35619587463936
dok45,drug,1,31,0.03225806451612903,2,1949,6.881924518947615
dok45,everyon,1,31,0.03225806451612903,47,1949,3.724924097797502
dok45,got,1,31,0.03225806451612903,28,1949,4.242867189332357
dok45,hip,1,31,0.03225806451612903,4,1949,6.18877733838767
dok45,hop,1,31,0.03225806451612903,3,1949,6.476459410839451
dok45,juic,1,31,0.03225806451612903,1,1949,7.575071699507561
dok45,lazi,1,31,0.03225806451612903,1,1949,7.575071699507561
dok45,like,1,31,0.03225806451612903,239,1949,2.09860814757605
dok45,lyric,1,31,0.03225806451612903,25,1949,4.35619587463936
dok45,me,1,31,0.03225806451612903,199,1949,2.2817668747830684
dok45,model,1,31,0.03225806451612903,3,1949,6.476459410839451
dok45,my,1,31,0.03225806451612903,387,1949,1.616647006477779
dok45,newest,1,31,0.03225806451612903,3,1949,6.476459410839451
dok45,numer,1,31,0.03225806451612903,415,1949,1.5467931792768626
dok45,prod,1,31,0.03225806451612903,1,1949,7.575071699507561
dok45,prophetz,1,31,0.03225806451612903,1,1949,7.575071699507561
dok45,raw,2,31,0.06451612903225806,1,1949,7.575071699507561
dok45,real,1,31,0.03225806451612903,24,1949,4.397017869159615
dok45,sound,1,31,0.03225806451612903,11,1949,5.17717642670919
dok45,straight,1,31,0.03225806451612903,2,1949,6.881924518947615
dok45,talent,1,31,0.03225806451612903,7,1949,5.629161550452247
dok45,tell,1,31,0.03225806451612903,14,1949,4.936014369892303
dok45,think,1,31,0.03225806451612903,32,1949,4.1093357967078346
dok45,you,2,31,0.06451612903225806,395,1949,1.5961859346064389
dok46,channel,1,3,0.3333333333333333,192,1949,2.317576327479779
dok46,my,1,3,0.3333333333333333,387,1949,1.616647006477779
dok46,subscrib,1,3,0.3333333333333333,272,1949,1.9692696332115633
dok47,comment,1,10,0.1,89,1949,3.086435329775421
dok47,count,1,10,0.1,5,1949,5.96563378707346
