CONTENT,CLASS,content_lower,content_lower_rn
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1,"we are an edm apparel company dedicated to bringing you music inspired  designs. our clothing is perfect for any rave or music festival. we have  neon crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  facebook or on instagraml for free giveaways news and more!! visit our site  at oncueapparel﻿",we are an edm apparel company dedicated to bringing you music inspired designs our clothing is perfect for any rave or music festival we have neon crop tops tank tops t shirts v necks and accessories follow us on facebook or on instagraml for free giveaways news and more visit our site at oncueapparel
i think about 100 millions of the views come from people who only wanted to  check the views﻿,0,i think about 100 millions of the views come from people who only wanted to  check the views﻿,i think about numeric millions of the views come from people who only wanted to check the views
subscribe to my channel people :D﻿,1,subscribe to my channel people :d﻿,subscribe to my channel people d
Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿,1,show your auburn pride here: http://www.teespring.com/tigermeathoodie﻿,show your auburn pride here url
just checking the views﻿,0,just checking the views﻿,just checking the views
CHECK OUT MY CHANNEL,1,check out my channel,check out my channel
marketglory . com/strategygame/andrijamatf earn real money from game,1,marketglory . com/strategygame/andrijamatf earn real money from game,url strategygame andrijamatf earn real money from game
Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,1,hey guys! im a 12 yr old music producer. i make chiptunes and 8bit music.  it would be wonderful if you checked out some of my 8bit remixes! i even  have a gangnamstyle 8bit remix if you would like to check that out ;)  thanks!!,hey guys im a numeric yr old music producer i make chiptunes and 8bit music it would be wonderful if you checked out some of my 8bit remixes i even have a gangnamstyle 8bit remix if you would like to check that out thanks
Check me out! I'm kyle. I rap so yeah ﻿,1,check me out! i'm kyle. i rap so yeah ﻿,check me out i m kyle i rap so yeah
I dont even watch it anymore i just come here to check on 2 Billion or not﻿,0,i dont even watch it anymore i just come here to check on 2 billion or not﻿,i dont even watch it anymore i just come here to check on numeric billion or not
"Subscribe to me for free Android games, apps.. ﻿",1,"subscribe to me for free android games, apps.. ﻿",subscribe to me for free android games apps
everyone please come check our newest song in memories of Martin Luther  King Jr.﻿,1,everyone please come check our newest song in memories of martin luther  king jr.﻿,everyone please come check our newest song in memories of martin luther king jr
"Came here to check the views, goodbye.﻿",0,"came here to check the views, goodbye.﻿",came here to check the views goodbye
sub my channel for no reason -_-﻿,1,sub my channel for no reason -_-﻿,sub my channel for no reason
"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o﻿",1,"check out my dubstep song ""fireball"", made with fruity loops. i really took  time in it.  /watch?v=teloa6rio8o﻿",check out my dubstep song fireball made with fruity loops i really took time in it url
2 billion....Coming soon﻿,0,2 billion....coming soon﻿,numeric billion coming soon
Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ﻿,0,why dafuq is a korean song so big in the usa. does that mean we support  koreans? last time i checked they wanted to bomb us. ﻿,why dafuq is a korean song so big in the usa does that mean we support koreans last time i checked they wanted to bomb us
Check my channel please! And listen to the best music ever :P﻿,1,check my channel please! and listen to the best music ever :p﻿,check my channel please and listen to the best music ever p
SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS﻿,1,sub 4 sub please like this comment i want a succesfull youtube so pplease like this  comment and subscribe it only takes 10 seconds please if you subscribe ill  subscribe back thanks﻿,sub numeric sub please like this comment i want a succesfull youtube so pplease like this comment and subscribe it only takes numeric seconds please if you subscribe ill subscribe back thanks
" Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN﻿",1," hey everyone!! i have just started my first yt channel i would be grateful  if some of you peoples could check out my first clip in bf4! and give me  some advice on how my video was and how i could improve it. also be sure to  go check out the about to see what im all about. thanks for your time :) .  and to haters... you hate, i win﻿",hey everyone i have just started my first yt channel i would be grateful if some of you peoples could check out my first clip in bf4 and give me some advice on how my video was and how i could improve it also be sure to go check out the about to see what im all about thanks for your time and to haters you hate i win
"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿",1,"the projects after effects, music, foto, web sites and another you can find  and buy here  http://audiojungle.net/user/eugenekalinin/portfolio?ref=eugenekalinin﻿",the projects after effects music foto web sites and another you can find and buy here url
YouTube/codytolleson for awesome videos I'll subscribe back ﻿,1,youtube/codytolleson for awesome videos i'll subscribe back ﻿,youtube codytolleson for awesome videos i ll subscribe back
if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿,1,if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿,if you like roblox minecraft world of warcraft gta5 mario suscribe to my channel
SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ﻿,1,subscribe to me and i'll subscribe to you! (must like - czfcxsn0jnq) ﻿,subscribe to me and i ll subscribe to you must like czfcxsn0jnq
http://www.twitch.tv/jaroadc come follow and watch my stream!﻿,1,http://www.twitch.tv/jaroadc come follow and watch my stream!﻿,url come follow and watch my stream
"if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound  Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen)   COMMENT TELL ME WHAT YOU THINK  DONT BE LAZY!!!!  - 1/7 Prophetz﻿",1,"if you like raw talent, raw lyrics, straight real hip hop everyone check my newest sound  dizzy x - got the juice (prod by. drugs the model citizen)   comment tell me what you think  dont be lazy!!!!  - 1/7 prophetz﻿",if you like raw talent raw lyrics straight real hip hop everyone check my newest sound dizzy x got the juice prod by drugs the model citizen comment tell me what you think dont be lazy numeric numeric prophetz
....subscribe......  ......to my........  .....channel.......﻿,1,....subscribe......  ......to my........  .....channel.......﻿,subscribe to my channel
"now its 1,884,034,783 views! pls. comment the view count the next hour :P﻿",0,"now its 1,884,034,783 views! pls. comment the view count the next hour :p﻿",now its numeric numeric numeric numeric views pls comment the view count the next hour p
http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ﻿,1,http://www.avaaz.org/po/petition/youtube_corporation_fox_broadcasting_company_anular_os_strikes_no_canal_nostalgia/?cxpzpgb ﻿,url
go here to check the views :3﻿,0,go here to check the views :3﻿,go here to check the views numeric
thumbs up if u checked this video to see hw views it got﻿,0,thumbs up if u checked this video to see hw views it got﻿,thumbs up if u checked this video to see hw views it got
Plz subscribe to my channel and I will subscribe back xx﻿,1,plz subscribe to my channel and i will subscribe back xx﻿,plz subscribe to my channel and i will subscribe back xx
i check back often to help reach 2x10^9 views and I avoid watching Baby﻿,0,i check back often to help reach 2x10^9 views and i avoid watching baby﻿,i check back often to help reach 2x10 numeric views and i avoid watching baby
This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿,0,this video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿,this video will get to numeric billion just because of people checking if it has hit numeric billion yet
https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!﻿,1,https://www.facebook.com/pages/brew-crew-2014/134470083389909 like this  facebook-page! chance to win an iphone 5s!﻿,url like this facebook page chance to win an iphone 5s
get GWAR to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿,1,get gwar to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿,get gwar to play numeric superbowl url
Pls follow this channel!! http://www.twitch.tv/sevadus﻿,1,pls follow this channel!! http://www.twitch.tv/sevadus﻿,pls follow this channel url
hi guys check my youtube channel﻿,1,hi guys check my youtube channel﻿,hi guys check my youtube channel
Subscribe and like to me for more how to videos on minecraft!﻿,1,subscribe and like to me for more how to videos on minecraft!﻿,subscribe and like to me for more how to videos on minecraft
http://tankionline.com#friend=cd92db3f4 great game check it out!﻿,1,http://tankionline.com#friend=cd92db3f4 great game check it out!﻿,url friend cd92db3f4 great game check it out
Subscribe ME!﻿,1,subscribe me!﻿,subscribe me
Im just to check how much views it has﻿,0,im just to check how much views it has﻿,im just to check how much views it has
The first comment is chuck norrus ovbiously :D﻿,0,the first comment is chuck norrus ovbiously :d﻿,the first comment is chuck norrus ovbiously d
Behold the most viewed youtube video in the history of ever﻿,0,behold the most viewed youtube video in the history of ever﻿,behold the most viewed youtube video in the history of ever
when is this gonna hit 2 billion?﻿,0,when is this gonna hit 2 billion?﻿,when is this gonna hit numeric billion
the most viewed youtube video of all time?﻿,0,the most viewed youtube video of all time?﻿,the most viewed youtube video of all time
"969,210 dislikes like dislike themselves﻿",0,"969,210 dislikes like dislike themselves﻿",numeric numeric dislikes like dislike themselves
psy=korean﻿,0,psy=korean﻿,psy korean
"OMG this oldspice spraytan party commercial omg....i'm sitting here ""NO  this isn't a real thing is it? OMG"" ﻿",0,"omg this oldspice spraytan party commercial omg....i'm sitting here ""no  this isn't a real thing is it? omg"" ﻿",omg this oldspice spraytan party commercial omg i m sitting here no this isn t a real thing is it omg
"This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.﻿",0,"this is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, i mean, most people  think a video is popular when it actually gets 1.000.000 views.﻿",this is the only video on youtube that get so much views just because we want to see how much views it has numeric numeric every day i mean most people think a video is popular when it actually gets numeric numeric views
It's been back for quite a while now.,0,it's been back for quite a while now.,it s been back for quite a while now
2 Billions in 2014,0,2 billions in 2014,numeric billions in numeric
plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!﻿,1,plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!﻿,plz check out fablife welcome to fablife for diys and challenges so plz subscribe thx
Sub my channel!﻿,1,sub my channel!﻿,sub my channel
http://www.ebay.com/itm/131338190916?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1,http://www.ebay.com/itm/131338190916?sspagename=strk:meselx:it&amp;_trksid=p3984.m1555.l2649 ﻿,url
http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ ﻿,1,http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ ﻿,url
"if your like drones, plz subscribe to Kamal Tayara. He takes videos with  his drone that are absolutely beautiful.﻿",1,"if your like drones, plz subscribe to kamal tayara. he takes videos with  his drone that are absolutely beautiful.﻿",if your like drones plz subscribe to kamal tayara he takes videos with his drone that are absolutely beautiful
http://hackfbaccountlive.com/?ref=4604617﻿,1,http://hackfbaccountlive.com/?ref=4604617﻿,url
"WHATS UP EVERYONE!? :-) I Trying To Showcase My Talent To The World! I Have Over 3000 SUBSCRIBERS! I PROMISE! I Dont Suck! Please Spread My Covers Around, SUBSCRIBE &amp; Share! Thanks so much for all your support! Lucas Trigo -Stay Awesome! ﻿",1,"whats up everyone!? :-) i trying to showcase my talent to the world! i have over 3000 subscribers! i promise! i dont suck! please spread my covers around, subscribe &amp; share! thanks so much for all your support! lucas trigo -stay awesome! ﻿",whats up everyone i trying to showcase my talent to the world i have over numeric subscribers i promise i dont suck please spread my covers around subscribe share thanks so much for all your support lucas trigo stay awesome
-----&gt;&gt;&gt;&gt;  https://www.facebook.com/video.php?v=10200253113705769&amp;set=vb.201470069872822&amp;type=3&amp;permPage=1  &lt;--------﻿,1,-----&gt;&gt;&gt;&gt;  https://www.facebook.com/video.php?v=10200253113705769&amp;set=vb.201470069872822&amp;type=3&amp;permpage=1  &lt;--------﻿,url
"Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !﻿",1,"hi there~i'm group leader of angel, a rookie korean pop group. we have four  members, chanicka, julie, stephanie, and myself, leah. please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a korean management company. we plan on  auditioning for jyp, bighit, jellyfish, yg or sm. thank you for taking time  out of your day to read this !﻿",hi there i m group leader of angel a rookie korean pop group we have four members chanicka julie stephanie and myself leah please feel free to check out our channel and leave some feedback on our cover videos criticism is welcome as we know we re not top notch singers so please come leave some constructive feedback on our videos we appreciate any chance to improve before auditioning for a korean management company we plan on auditioning for jyp bighit jellyfish yg or sm thank you for taking time out of your day to read this
http://woobox.com/33gxrf/brt0u5 FREE CS GO!!!!﻿,1,http://woobox.com/33gxrf/brt0u5 free cs go!!!!﻿,url free cs go
Admit it you just came here to check the number of viewers ﻿,0,admit it you just came here to check the number of viewers ﻿,admit it you just came here to check the number of viewers
"Just coming to check if people are still viewing this video. And  apparently, they still do.﻿",0,"just coming to check if people are still viewing this video. and  apparently, they still do.﻿",just coming to check if people are still viewing this video and apparently they still do
Check my first video out﻿,1,check my first video out﻿,check my first video out
Check my channel﻿,1,check my channel﻿,check my channel
PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,0,psy - gangnam style (강남스타일) m/v: http://youtu.be/9bzkp7q19f0﻿,psy gangnam style m v http url
Suscribe My Channel Please XD lol﻿,1,suscribe my channel please xd lol﻿,suscribe my channel please xd lol
Wow. Comments section on this still active. Not bad. Also 5277478 comments.  (Now 79)﻿,0,wow. comments section on this still active. not bad. also 5277478 comments.  (now 79)﻿,wow comments section on this still active not bad also numeric comments now numeric
http://binbox.io/1FIRo#123﻿,1,http://binbox.io/1firo#123﻿,url
Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.﻿,0,ching ching ling long ding ring yaaaaaa ganga sty fuck you.﻿,ching ching ling long ding ring yaa ganga sty fuck you
https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my project﻿,1,https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my project﻿,url please halp me with my project
There is one video on my channel about my brother...﻿,1,there is one video on my channel about my brother...﻿,there is one video on my channel about my brother
"Check my channel, please!﻿",1,"check my channel, please!﻿",check my channel please
"Does anyone here use gift cards like Amazon, itunes, psn, google play,  itunes, or any other gift cards? Then you'll be happy to know you can get  free gift card codes for free from an amazing site. Here is a $50 itunes  gift card code XXBB5TCZHM39HVZD﻿",1,"does anyone here use gift cards like amazon, itunes, psn, google play,  itunes, or any other gift cards? then you'll be happy to know you can get  free gift card codes for free from an amazing site. here is a $50 itunes  gift card code xxbb5tczhm39hvzd﻿",does anyone here use gift cards like amazon itunes psn google play itunes or any other gift cards then you ll be happy to know you can get free gift card codes for free from an amazing site here is a numeric itunes gift card code xxbb5tczhm39hvzd
Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:﻿,0,why does this video have so many views? because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:﻿,why does this video have so many views because asian things are awesome and non asian countries are jelly so they try to learn from asia by looking at this video d
Plizz withing my channel ﻿,1,plizz withing my channel ﻿,plizz withing my channel
I made a gaming channel (Unique right?) :L Angry Minecraft!﻿,1,i made a gaming channel (unique right?) :l angry minecraft!﻿,i made a gaming channel unique right l angry minecraft
Please help me go here http://www.gofundme.com/littlebrother﻿,1,please help me go here http://www.gofundme.com/littlebrother﻿,please help me go here url
Anybody who subscribes to me will get 10 subscribers﻿,1,anybody who subscribes to me will get 10 subscribers﻿,anybody who subscribes to me will get numeric subscribers
http://thepiratebay.se/torrent/6381501/Timothy_Sykes_Collection﻿,1,http://thepiratebay.se/torrent/6381501/timothy_sykes_collection﻿,url
"My videos are half way decent, check them out if you want.﻿",1,"my videos are half way decent, check them out if you want.﻿",my videos are half way decent check them out if you want
"they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer . ﻿",0,"they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer . ﻿",they said this video are not deserve 2billion views while they keep visiting it to watch the viewer
subscribe to itz recaps and above diddle﻿,1,subscribe to itz recaps and above diddle﻿,subscribe to itz recaps and above diddle
Screw this Chinese crap i dont even understand what he is saying. Why isn't  he speaking English like everyone should?﻿,0,screw this chinese crap i dont even understand what he is saying. why isn't  he speaking english like everyone should?﻿,screw this chinese crap i dont even understand what he is saying why isn t he speaking english like everyone should
need money?Enjoy https://www.tsu.co/emerson_zanol﻿,1,need money?enjoy https://www.tsu.co/emerson_zanol﻿,need money enjoy url
Sub to my channel visuelgamingzNL I sub back﻿,1,sub to my channel visuelgamingznl i sub back﻿,sub to my channel visuelgamingznl i sub back
please subscribe i am a new youtuber and need help please subscribe and i  will subscribe back :D hoppa HOPPA GaNgAm StYlE﻿,1,please subscribe i am a new youtuber and need help please subscribe and i  will subscribe back :d hoppa hoppa gangam style﻿,please subscribe i am a new youtuber and need help please subscribe and i will subscribe back d hoppa hoppa gangam style
sub me if you dont like the song﻿,1,sub me if you dont like the song﻿,sub me if you dont like the song
This is a weird video.﻿,0,this is a weird video.﻿,this is a weird video
8 million likes xD even the subscribers not 8 million xD﻿,0,8 million likes xd even the subscribers not 8 million xd﻿,numeric million likes xd even the subscribers not numeric million xd
EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!... SUBSCRIBE!﻿,1,ehi guys can you subscribe in my channel? i am a new youtuber and i play  minecraft thanks guys!... subscribe!﻿,ehi guys can you subscribe in my channel i am a new youtuber and i play minecraft thanks guys subscribe
Hi everyone! Do you like music? Then why not check out my music channel.  The LEXIS band will be uploading their own songs and covers soon so don't  miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one  click. -&gt;﻿,1,hi everyone! do you like music? then why not check out my music channel.  the lexis band will be uploading their own songs and covers soon so don't  miss out. please subscribe too as it does help us out a lot. just takes one  click. -&gt;﻿,hi everyone do you like music then why not check out my music channel the lexis band will be uploading their own songs and covers soon so don t miss out please subscribe too as it does help us out a lot just takes one click
This song never gets old love it.﻿,0,this song never gets old love it.﻿,this song never gets old love it
gofundme.com/grwmps﻿,1,gofundme.com/grwmps﻿,url
"Hey guys please check out my new Google+ page it has many funny pictures,  FunnyTortsPics  https://plus.google.com/112720997191206369631/post﻿",1,"hey guys please check out my new google+ page it has many funny pictures,  funnytortspics  https://plus.google.com/112720997191206369631/post﻿",hey guys please check out my new google page it has many funny pictures funnytortspics url
#2012bitches﻿,0,#2012bitches﻿,2012bitches
Made in china....﻿,0,made in china....﻿,made in china
5 milions comentars and 2 bilion views﻿,0,5 milions comentars and 2 bilion views﻿,numeric milions comentars and numeric bilion views
It is 0 zero﻿,0,it is 0 zero﻿,it is numeric zero
Mix - PSY - GANGNAM STYLE (강남스타일) M/V: PSY - GANGNAM STYLE (강남스타일) M/V﻿,0,mix - psy - gangnam style (강남스타일) m/v: psy - gangnam style (강남스타일) m/v﻿,mix psy gangnam style m v psy gangnam style m v
This has had over 2 billion views.  Holy shit.﻿,0,this has had over 2 billion views.  holy shit.﻿,this has had over numeric billion views holy shit
"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",0,"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",how can there be numeric numeric views when im the only person alive after the zombie apocalypse greetings spoderman
Suscribe my channel please﻿,1,suscribe my channel please﻿,suscribe my channel please
"2,124923004 wiews... wow﻿",0,"2,124923004 wiews... wow﻿",numeric numeric wiews wow
guys please subscribe me to help my channel grow please guys﻿,1,guys please subscribe me to help my channel grow please guys﻿,guys please subscribe me to help my channel grow please guys
Great music anyway﻿,0,great music anyway﻿,great music anyway
PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,0,psy - gangnam style (강남스타일) m/v: http://youtu.be/9bzkp7q19f0﻿,psy gangnam style m v http url
"so crazy, over 2 billion views, not US, not Uk, its Korea republic, its  asia﻿",0,"so crazy, over 2 billion views, not us, not uk, its korea republic, its  asia﻿",so crazy over numeric billion views not us not uk its korea republic its asia
Discover a beautiful song of A young Moroccan     http://www.linkbucks.com/AcN2g﻿,1,discover a beautiful song of a young moroccan     http://www.linkbucks.com/acn2g﻿,discover a beautiful song of a young moroccan url
"Like getting Gift cards..but hate spending the cash.... Try Juno Wallet !!! At Juno Wallet you can earn money for gift cards such as ; Nike, Gamestop,  Amazon , Ebay Etc &amp; its easy  Earn money by doing simple task like watching videos..downloading apps &amp;  you can even earn money by inviting your friends to join...its free for  signup Sign up today &amp; use promo code BD3721315﻿",1,"like getting gift cards..but hate spending the cash.... try juno wallet !!! at juno wallet you can earn money for gift cards such as ; nike, gamestop,  amazon , ebay etc &amp; its easy  earn money by doing simple task like watching videos..downloading apps &amp;  you can even earn money by inviting your friends to join...its free for  signup sign up today &amp; use promo code bd3721315﻿",like getting gift cards but hate spending the cash try juno wallet at juno wallet you can earn money for gift cards such as nike gamestop amazon ebay etc its easy earn money by doing simple task like watching videos downloading apps you can even earn money by inviting your friends to join its free for signup sign up today use promo code bd3721315
Can somebody wake me up when we get to 3 billion views.﻿,0,can somebody wake me up when we get to 3 billion views.﻿,can somebody wake me up when we get to numeric billion views
PSY GOT LOTS  OF MONEY FROM YOUTUBE THAT HE GOT FROM 2 BILLION VIEWS THIS  IS THE MOST VIEWS IN THE WORLD :D﻿,0,psy got lots  of money from youtube that he got from 2 billion views this  is the most views in the world :d﻿,psy got lots of money from youtube that he got from numeric billion views this is the most views in the world d
Justin bieber = gay ﻿,0,justin bieber = gay ﻿,justin bieber gay
You gotta say its funny. well not 2 billion worth funny but still. It  clicked and everything went uphill. At least you don't have JB's shit on  #1.﻿,0,you gotta say its funny. well not 2 billion worth funny but still. it  clicked and everything went uphill. at least you don't have jb's shit on  #1.﻿,you gotta say its funny well not numeric billion worth funny but still it clicked and everything went uphill at least you don t have jb s shit on numeric
❤️ ❤️ ❤️ ❤️ ❤️❤️❤️❤️﻿,0,❤️ ❤️ ❤️ ❤️ ❤️❤️❤️❤️﻿,red heart red heart red heart red heart red heart red heart red heart red heart
"Ahhh, 2 years ago....﻿",0,"ahhh, 2 years ago....﻿",ahhh numeric years ago
"Dance dance,,,,,Psy  http://www.reverbnation.com/msmarilynmiles﻿",1,"dance dance,,,,,psy  http://www.reverbnation.com/msmarilynmiles﻿",dance dance psy url
"check out ""starlitnightsky"" channel to see epic videos﻿",1,"check out ""starlitnightsky"" channel to see epic videos﻿",check out starlitnightsky channel to see epic videos
https://www.tsu.co/KodysMan plz ^^﻿,1,https://www.tsu.co/kodysman plz ^^﻿,url plz
Stupid people... this video doesnt have 2 billion visits. Have 2 thousands  millions﻿,0,stupid people... this video doesnt have 2 billion visits. have 2 thousands  millions﻿,stupid people this video doesnt have numeric billion visits have numeric thousands millions
http://www.gcmforex.com/partners/aw.aspx?Task=JoinT2&amp;AffiliateID=9107﻿,1,http://www.gcmforex.com/partners/aw.aspx?task=joint2&amp;affiliateid=9107﻿,url
check men out i put allot of effort into my music but unfortunatly not many  watch it﻿,1,check men out i put allot of effort into my music but unfortunatly not many  watch it﻿,check men out i put allot of effort into my music but unfortunatly not many watch it
pls http://www10.vakinha.com.br/VaquinhaE.aspx?e=313327 help me get vip gun  cross fire al﻿,1,pls http://www10.vakinha.com.br/vaquinhae.aspx?e=313327 help me get vip gun  cross fire al﻿,pls url help me get vip gun cross fire al
Add me here...https://www.facebook.com/TLouXmusic﻿,1,add me here...https://www.facebook.com/tlouxmusic﻿,add me here url
CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS﻿,1,check my channel out please. i do singing covers﻿,check my channel out please i do singing covers
