CONTENT,CLASS,content_lower,content_lower_rn,remove_numbers,content_tokenized,normalized,content_stopwords,content_lemma
 Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.ï»¿,1, once you have started reading do not stop. if you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.ï»¿,once you have started reading do not stop if you do not subscribe to me within one day you and youre entire family will die so if you want to stay alive subscribe right now,once you have started reading do not stop if you do not subscribe to me within one day you and youre entire family will die so if you want to stay alive subscribe right now,"['once', 'you', 'have', 'started', 'reading', 'do', 'not', 'stop', 'if', 'you', 'do', 'not', 'subscribe', 'to', 'me', 'within', 'one', 'day', 'you', 'and', 'youre', 'entire', 'family', 'will', 'die', 'so', 'if', 'you', 'want', 'to', 'stay', 'alive', 'subscribe', 'right', 'now']","['once', 'you', 'have', 'started', 'reading', 'do', 'not', 'stop', 'if', 'you', 'do', 'not', 'subscribe', 'to', 'me', 'within', 'one', 'day', 'you', 'and', 'youre', 'entire', 'family', 'will', 'die', 'so', 'if', 'you', 'want', 'to', 'stay', 'alive', 'subscribe', 'right', 'now']","['started', 'reading', 'stop', 'subscribe', 'day', 'youre', 'entire', 'family', 'die', 'want', 'stay', 'alive', 'subscribe', 'right', 'now']","['start', 'read', 'stop', 'subscribe', 'day', 'youre', 'entire', 'family', 'die', 'want', 'stay', 'alive', 'subscribe', 'right', 'now']"
https://twitter.com/GBphotographyGBï»¿,1,https://twitter.com/gbphotographygbï»¿,url,url,['url'],['url'],['url'],['url']
subscribe like commentï»¿,1,subscribe like commentï»¿,subscribe like comment,subscribe like comment,"['subscribe', 'like', 'comment']","['subscribe', 'like', 'comment']","['subscribe', 'like', 'comment']","['subscribe', 'like', 'comment']"
please like :D https://premium.easypromosapp.com/voteme/19924/616375350ï»¿,1,please like :d https://premium.easypromosapp.com/voteme/19924/616375350ï»¿,please like url,please like url,"['please', 'like', 'url']","['please', 'like', 'url']","['like', 'url']","['like', 'url']"
"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!ï»¿",1,"hello! do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? if you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... you can also check out what  we've got so far!ï»¿",hello do you like gaming art videos scientific e eriments tutorials lyrics videos and much much more of that if you do please check out our channel and subscribe to it weve just started but soon we hope we will be able to cover all of our e ectations you can also check out what weve got so far,hello do you like gaming art videos scientific e eriments tutorials lyrics videos and much much more of that if you do please check out our channel and subscribe to it weve just started but soon we hope we will be able to cover all of our e ectations you can also check out what weve got so far,"['hello', 'do', 'you', 'like', 'gaming', 'art', 'videos', 'scientific', 'e', 'eriments', 'tutorials', 'lyrics', 'videos', 'and', 'much', 'much', 'more', 'of', 'that', 'if', 'you', 'do', 'please', 'check', 'out', 'our', 'channel', 'and', 'subscribe', 'to', 'it', 'weve', 'just', 'started', 'but', 'soon', 'we', 'hope', 'we', 'will', 'be', 'able', 'to', 'cover', 'all', 'of', 'our', 'e', 'ectations', 'you', 'can', 'also', 'check', 'out', 'what', 'weve', 'got', 'so', 'far']","['hello', 'do', 'you', 'like', 'gaming', 'art', 'videos', 'scientific', 'e', 'eriments', 'tutorials', 'lyrics', 'videos', 'and', 'much', 'much', 'more', 'of', 'that', 'if', 'you', 'do', 'please', 'check', 'out', 'our', 'channel', 'and', 'subscribe', 'to', 'it', 'weve', 'just', 'started', 'but', 'soon', 'we', 'hope', 'we', 'will', 'be', 'able', 'to', 'cover', 'all', 'of', 'our', 'e', 'ectations', 'you', 'can', 'also', 'check', 'out', 'what', 'weve', 'got', 'so', 'far']","['hello', 'like', 'gaming', 'art', 'videos', 'scientific', 'e', 'eriments', 'tutorials', 'lyrics', 'videos', 'check', 'channel', 'subscribe', 'weve', 'started', 'soon', 'hope', 'able', 'cover', 'e', 'ectations', 'check', 'weve', 'far']","['hello', 'like', 'game', 'art', 'video', 'scientific', 'e', 'eriments', 'tutorial', 'lyric', 'videos', 'check', 'channel', 'subscribe', 'weve', 'start', 'soon', 'hope', 'able', 'cover', 'e', 'ectations', 'check', 'weve', 'far']"
I'm only checking the viewsï»¿,0,i'm only checking the viewsï»¿,im only checking the views,im only checking the views,"['im', 'only', 'checking', 'the', 'views']","['im', 'only', 'checking', 'the', 'views']","['checking', 'views']","['check', 'view']"
http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ï»¿,1,http://www.ebay.com/itm/171183229277?sspagename=strk:meselx:it&amp;_trksid=p3984.m1555.l2649 ï»¿,url,url,['url'],['url'],['url'],['url']
http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8Kï»¿,1,http://ubuntuone.com/40beuutvu2zkxk4utgpz8kï»¿,url,url,['url'],['url'],['url'],['url']
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparelï»¿",1,"we are an edm apparel company dedicated to bringing you music inspired  designs. our clothing is perfect for any rave or music festival. we have  neon crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  facebook or on instagraml for free giveaways news and more!! visit our site  at oncueapparelï»¿",we are an edm apparel company dedicated to bringing you music inspired designs our clothing is perfect for any rave or music festival we have neon crop tops tank tops tshirts vnecks and accessories follow us on facebook or on instagraml for free giveaways news and more visit our site at oncueapparel,we are an edm apparel company dedicated to bringing you music inspired designs our clothing is perfect for any rave or music festival we have neon crop tops tank tops tshirts vnecks and accessories follow us on facebook or on instagraml for free giveaways news and more visit our site at oncueapparel,"['we', 'are', 'an', 'edm', 'apparel', 'company', 'dedicated', 'to', 'bringing', 'you', 'music', 'inspired', 'designs', 'our', 'clothing', 'is', 'perfect', 'for', 'any', 'rave', 'or', 'music', 'festival', 'we', 'have', 'neon', 'crop', 'tops', 'tank', 'tops', 'tshirts', 'vnecks', 'and', 'accessories', 'follow', 'us', 'on', 'facebook', 'or', 'on', 'instagraml', 'for', 'free', 'giveaways', 'news', 'and', 'more', 'visit', 'our', 'site', 'at', 'oncueapparel']","['we', 'are', 'an', 'edm', 'apparel', 'company', 'dedicated', 'to', 'bringing', 'you', 'music', 'inspired', 'designs', 'our', 'clothing', 'is', 'perfect', 'for', 'any', 'rave', 'or', 'music', 'festival', 'we', 'have', 'neon', 'crop', 'tops', 'tank', 'tops', 'tshirts', 'vnecks', 'and', 'accessories', 'follow', 'us', 'on', 'facebook', 'or', 'on', 'instagraml', 'for', 'free', 'giveaways', 'news', 'and', 'more', 'visit', 'our', 'site', 'at', 'oncueapparel']","['edm', 'apparel', 'company', 'dedicated', 'bringing', 'music', 'inspired', 'designs', 'clothing', 'perfect', 'rave', 'music', 'festival', 'neon', 'crop', 'tops', 'tank', 'tops', 'tshirts', 'vnecks', 'accessories', 'follow', 'facebook', 'instagraml', 'free', 'giveaways', 'news', 'visit', 'site', 'oncueapparel']","['edm', 'apparel', 'company', 'dedicate', 'bring', 'music', 'inspire', 'design', 'clothe', 'perfect', 'rave', 'music', 'festival', 'neon', 'crop', 'top', 'tank', 'tops', 'tshirts', 'vnecks', 'accessory', 'follow', 'facebook', 'instagraml', 'free', 'giveaway', 'news', 'visit', 'site', 'oncueapparel']"
i think about 100 millions of the views come from people who only wanted to  check the viewsï»¿,0,i think about 100 millions of the views come from people who only wanted to  check the viewsï»¿,i think about millions of the views come from people who only wanted to check the views,i think about millions of the views come from people who only wanted to check the views,"['i', 'think', 'about', 'millions', 'of', 'the', 'views', 'come', 'from', 'people', 'who', 'only', 'wanted', 'to', 'check', 'the', 'views']","['i', 'think', 'about', 'millions', 'of', 'the', 'views', 'come', 'from', 'people', 'who', 'only', 'wanted', 'to', 'check', 'the', 'views']","['millions', 'views', 'who', 'wanted', 'check', 'views']","['million', 'view', 'who', 'want', 'check', 'view']"
subscribe to my channel people :Dï»¿,1,subscribe to my channel people :dï»¿,subscribe to my channel people,subscribe to my channel people,"['subscribe', 'to', 'my', 'channel', 'people']","['subscribe', 'to', 'my', 'channel', 'people']","['subscribe', 'channel']","['subscribe', 'channel']"
Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodieï»¿,1,show your auburn pride here: http://www.teespring.com/tigermeathoodieï»¿,show your auburn pride here url,show your auburn pride here url,"['show', 'your', 'auburn', 'pride', 'here', 'url']","['show', 'your', 'auburn', 'pride', 'here', 'url']","['show', 'auburn', 'pride', 'url']","['show', 'auburn', 'pride', 'url']"
just checking the viewsï»¿,0,just checking the viewsï»¿,just checking the views,just checking the views,"['just', 'checking', 'the', 'views']","['just', 'checking', 'the', 'views']","['checking', 'views']","['check', 'view']"
CHECK OUT MY CHANNEL,1,check out my channel,check out my channel,check out my channel,"['check', 'out', 'my', 'channel']","['check', 'out', 'my', 'channel']","['check', 'channel']","['check', 'channel']"
marketglory . com/strategygame/andrijamatf earn real money from game,1,marketglory . com/strategygame/andrijamatf earn real money from game,url strategygameandrijamatf earn real money from game,url strategygameandrijamatf earn real money from game,"['url', 'strategygameandrijamatf', 'earn', 'real', 'money', 'from', 'game']","['url', 'strategygameandrijamatf', 'earn', 'real', 'money', 'from', 'game']","['url', 'strategygameandrijamatf', 'earn', 'real', 'money', 'game']","['url', 'strategygameandrijamatf', 'earn', 'real', 'money', 'game']"
Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,1,hey guys! im a 12 yr old music producer. i make chiptunes and 8bit music.  it would be wonderful if you checked out some of my 8bit remixes! i even  have a gangnamstyle 8bit remix if you would like to check that out ;)  thanks!!,hey guys im a yr old music producer i make chiptunes and music it would be wonderful if you checked out some of my remixes i even have a gangnamstyle remix if you would like to check that out thanks,hey guys im a yr old music producer i make chiptunes and music it would be wonderful if you checked out some of my remixes i even have a gangnamstyle remix if you would like to check that out thanks,"['hey', 'guys', 'im', 'a', 'yr', 'old', 'music', 'producer', 'i', 'make', 'chiptunes', 'and', 'music', 'it', 'would', 'be', 'wonderful', 'if', 'you', 'checked', 'out', 'some', 'of', 'my', 'remixes', 'i', 'even', 'have', 'a', 'gangnamstyle', 'remix', 'if', 'you', 'would', 'like', 'to', 'check', 'that', 'out', 'thanks']","['hey', 'guys', 'im', 'a', 'yr', 'old', 'music', 'producer', 'i', 'make', 'chiptunes', 'and', 'music', 'it', 'would', 'be', 'wonderful', 'if', 'you', 'checked', 'out', 'some', 'of', 'my', 'remixes', 'i', 'even', 'have', 'a', 'gangnamstyle', 'remix', 'if', 'you', 'would', 'like', 'to', 'check', 'that', 'out', 'thanks']","['hey', 'yr', 'old', 'music', 'producer', 'chiptunes', 'music', 'wonderful', 'checked', 'remixes', 'gangnamstyle', 'remix', 'like', 'check', 'thanks']","['hey', 'yr', 'old', 'music', 'producer', 'chiptunes', 'music', 'wonderful', 'check', 'remixes', 'gangnamstyle', 'remix', 'like', 'check', 'thanks']"
Check me out! I'm kyle. I rap so yeah ï»¿,1,check me out! i'm kyle. i rap so yeah ï»¿,check me out im kyle i rap so yeah,check me out im kyle i rap so yeah,"['check', 'me', 'out', 'im', 'kyle', 'i', 'rap', 'so', 'yeah']","['check', 'me', 'out', 'im', 'kyle', 'i', 'rap', 'so', 'yeah']","['check', 'kyle', 'rap', 'yeah']","['check', 'kyle', 'rap', 'yeah']"
I dont even watch it anymore i just come here to check on 2 Billion or notï»¿,0,i dont even watch it anymore i just come here to check on 2 billion or notï»¿,i dont even watch it anymore i just come here to check on billion or not,i dont even watch it anymore i just come here to check on billion or not,"['i', 'dont', 'even', 'watch', 'it', 'anymore', 'i', 'just', 'come', 'here', 'to', 'check', 'on', 'billion', 'or', 'not']","['i', 'dont', 'even', 'watch', 'it', 'anymore', 'i', 'just', 'come', 'here', 'to', 'check', 'on', 'billion', 'or', 'not']","['dont', 'watch', 'anymore', 'check', 'billion']","['dont', 'watch', 'anymore', 'check', 'billion']"
"Subscribe to me for free Android games, apps.. ï»¿",1,"subscribe to me for free android games, apps.. ï»¿",subscribe to me for free android games apps,subscribe to me for free android games apps,"['subscribe', 'to', 'me', 'for', 'free', 'android', 'games', 'apps']","['subscribe', 'to', 'me', 'for', 'free', 'android', 'games', 'apps']","['subscribe', 'free', 'android', 'games', 'apps']","['subscribe', 'free', 'android', 'game', 'apps']"
everyone please come check our newest song in memories of Martin Luther  King Jr.ï»¿,1,everyone please come check our newest song in memories of martin luther  king jr.ï»¿,everyone please come check our newest song in memories of martin luther king jr,everyone please come check our newest song in memories of martin luther king jr,"['everyone', 'please', 'come', 'check', 'our', 'newest', 'song', 'in', 'memories', 'of', 'martin', 'luther', 'king', 'jr']","['everyone', 'please', 'come', 'check', 'our', 'newest', 'song', 'in', 'memories', 'of', 'martin', 'luther', 'king', 'jr']","['everyone', 'check', 'newest', 'song', 'memories', 'martin', 'luther', 'king', 'jr']","['everyone', 'check', 'new', 'song', 'memory', 'martin', 'luther', 'king', 'jr']"
"Came here to check the views, goodbye.ï»¿",0,"came here to check the views, goodbye.ï»¿",came here to check the views goodbye,came here to check the views goodbye,"['came', 'here', 'to', 'check', 'the', 'views', 'goodbye']","['came', 'here', 'to', 'check', 'the', 'views', 'goodbye']","['check', 'views', 'goodbye']","['check', 'view', 'goodbye']"
sub my channel for no reason -_-ï»¿,1,sub my channel for no reason -_-ï»¿,sub my channel for no reason,sub my channel for no reason,"['sub', 'my', 'channel', 'for', 'no', 'reason']","['subcribe', 'my', 'channel', 'for', 'no', 'reason']","['subcribe', 'channel', 'reason']","['subcribe', 'channel', 'reason']"
"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8oï»¿",1,"check out my dubstep song ""fireball"", made with fruity loops. i really took  time in it.  /watch?v=teloa6rio8oï»¿",check out my dubstep song fireball made with fruity loops i really took time in it url,check out my dubstep song fireball made with fruity loops i really took time in it url,"['check', 'out', 'my', 'dubstep', 'song', 'fireball', 'made', 'with', 'fruity', 'loops', 'i', 'really', 'took', 'time', 'in', 'it', 'url']","['check', 'out', 'my', 'dubstep', 'song', 'fireball', 'made', 'with', 'fruity', 'loops', 'i', 'really', 'took', 'time', 'in', 'it', 'url']","['check', 'dubstep', 'song', 'fireball', 'fruity', 'loops', 'really', 'url']","['check', 'dubstep', 'song', 'fireball', 'fruity', 'loop', 'really', 'url']"
2 billion....Coming soonï»¿,0,2 billion....coming soonï»¿,billioncoming soon,billioncoming soon,"['billioncoming', 'soon']","['billioncoming', 'soon']","['billioncoming', 'soon']","['billioncoming', 'soon']"
Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ï»¿,0,why dafuq is a korean song so big in the usa. does that mean we support  koreans? last time i checked they wanted to bomb us. ï»¿,why dafuq is a korean song so big in the usa does that mean we support koreans last time i checked they wanted to bomb us,why dafuq is a korean song so big in the usa does that mean we support koreans last time i checked they wanted to bomb us,"['why', 'dafuq', 'is', 'a', 'korean', 'song', 'so', 'big', 'in', 'the', 'usa', 'does', 'that', 'mean', 'we', 'support', 'koreans', 'last', 'time', 'i', 'checked', 'they', 'wanted', 'to', 'bomb', 'us']","['why', 'dafuq', 'is', 'a', 'korean', 'song', 'so', 'big', 'in', 'the', 'usa', 'does', 'that', 'mean', 'we', 'support', 'koreans', 'last', 'time', 'i', 'checked', 'they', 'wanted', 'to', 'bomb', 'us']","['dafuq', 'korean', 'song', 'big', 'usa', 'mean', 'support', 'koreans', 'checked', 'wanted', 'bomb']","['dafuq', 'korean', 'song', 'big', 'usa', 'mean', 'support', 'korean', 'check', 'wanted', 'bomb']"
Check my channel please! And listen to the best music ever :Pï»¿,1,check my channel please! and listen to the best music ever :pï»¿,check my channel please and listen to the best music ever,check my channel please and listen to the best music ever,"['check', 'my', 'channel', 'please', 'and', 'listen', 'to', 'the', 'best', 'music', 'ever']","['check', 'my', 'channel', 'please', 'and', 'listen', 'to', 'the', 'best', 'music', 'ever']","['check', 'channel', 'listen', 'best', 'music']","['check', 'channel', 'listen', 'best', 'music']"
SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKSï»¿,1,sub 4 sub please like this comment i want a succesfull youtube so pplease like this  comment and subscribe it only takes 10 seconds please if you subscribe ill  subscribe back thanksï»¿,sub sub please like this comment i want a succesfull youtube so pplease like this comment and subscribe it only takes seconds please if you subscribe ill subscribe back thanks,sub sub please like this comment i want a succesfull youtube so pplease like this comment and subscribe it only takes seconds please if you subscribe ill subscribe back thanks,"['sub', 'sub', 'please', 'like', 'this', 'comment', 'i', 'want', 'a', 'succesfull', 'youtube', 'so', 'pplease', 'like', 'this', 'comment', 'and', 'subscribe', 'it', 'only', 'takes', 'seconds', 'please', 'if', 'you', 'subscribe', 'ill', 'subscribe', 'back', 'thanks']","['subcribe', 'subcribe', 'please', 'like', 'this', 'comment', 'i', 'want', 'a', 'succesfull', 'youtube', 'so', 'pplease', 'like', 'this', 'comment', 'and', 'subscribe', 'it', 'only', 'takes', 'seconds', 'please', 'if', 'you', 'subscribe', 'ill', 'subscribe', 'back', 'thanks']","['subcribe', 'subcribe', 'like', 'comment', 'want', 'succesfull', 'youtube', 'pplease', 'like', 'comment', 'subscribe', 'seconds', 'subscribe', 'ill', 'subscribe', 'thanks']","['subcribe', 'subcribe', 'like', 'comment', 'want', 'succesfull', 'youtube', 'pplease', 'like', 'comment', 'subscribe', 'second', 'subscribe', 'ill', 'subscribe', 'thanks']"
" Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WINï»¿",1," hey everyone!! i have just started my first yt channel i would be grateful  if some of you peoples could check out my first clip in bf4! and give me  some advice on how my video was and how i could improve it. also be sure to  go check out the about to see what im all about. thanks for your time :) .  and to haters... you hate, i winï»¿",hey everyone i have just started my first yt channel i would be grateful if some of you peoples could check out my first clip in bf4 and give me some advice on how my video was and how i could improve it also be sure to go check out the about to see what im all about thanks for your time and to haters you hate i win,hey everyone i have just started my first yt channel i would be grateful if some of you peoples could check out my first clip in and give me some advice on how my video was and how i could improve it also be sure to go check out the about to see what im all about thanks for your time and to haters you hate i win,"['hey', 'everyone', 'i', 'have', 'just', 'started', 'my', 'first', 'yt', 'channel', 'i', 'would', 'be', 'grateful', 'if', 'some', 'of', 'you', 'peoples', 'could', 'check', 'out', 'my', 'first', 'clip', 'in', 'and', 'give', 'me', 'some', 'advice', 'on', 'how', 'my', 'video', 'was', 'and', 'how', 'i', 'could', 'improve', 'it', 'also', 'be', 'sure', 'to', 'go', 'check', 'out', 'the', 'about', 'to', 'see', 'what', 'im', 'all', 'about', 'thanks', 'for', 'your', 'time', 'and', 'to', 'haters', 'you', 'hate', 'i', 'win']","['hey', 'everyone', 'i', 'have', 'just', 'started', 'my', 'first', 'yt', 'channel', 'i', 'would', 'be', 'grateful', 'if', 'some', 'of', 'you', 'peoples', 'could', 'check', 'out', 'my', 'first', 'clip', 'in', 'and', 'give', 'me', 'some', 'advice', 'on', 'how', 'my', 'video', 'was', 'and', 'how', 'i', 'could', 'improve', 'it', 'also', 'be', 'sure', 'to', 'go', 'check', 'out', 'the', 'about', 'to', 'see', 'what', 'im', 'all', 'about', 'thanks', 'for', 'your', 'time', 'and', 'to', 'haters', 'you', 'hate', 'i', 'win']","['hey', 'everyone', 'started', 'first', 'yt', 'channel', 'grateful', 'peoples', 'check', 'first', 'clip', 'advice', 'video', 'improve', 'sure', 'check', 'thanks', 'haters', 'hate', 'win']","['hey', 'everyone', 'start', 'first', 'yt', 'channel', 'grateful', 'people', 'check', 'first', 'clip', 'advice', 'video', 'improve', 'sure', 'check', 'thanks', 'hater', 'hate', 'win']"
"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalininï»¿",1,"the projects after effects, music, foto, web sites and another you can find  and buy here  http://audiojungle.net/user/eugenekalinin/portfolio?ref=eugenekalininï»¿",the projects after effects music foto web sites and another you can find and buy here url,the projects after effects music foto web sites and another you can find and buy here url,"['the', 'projects', 'after', 'effects', 'music', 'foto', 'web', 'sites', 'and', 'another', 'you', 'can', 'find', 'and', 'buy', 'here', 'url']","['the', 'projects', 'after', 'effects', 'music', 'foto', 'web', 'sites', 'and', 'another', 'you', 'can', 'find', 'and', 'buy', 'here', 'url']","['projects', 'effects', 'music', 'foto', 'web', 'sites', 'find', 'buy', 'url']","['project', 'effect', 'music', 'foto', 'web', 'sit', 'find', 'buy', 'url']"
YouTube/codytolleson for awesome videos I'll subscribe back ï»¿,1,youtube/codytolleson for awesome videos i'll subscribe back ï»¿,youtubecodytolleson for awesome videos ill subscribe back,youtubecodytolleson for awesome videos ill subscribe back,"['youtubecodytolleson', 'for', 'awesome', 'videos', 'ill', 'subscribe', 'back']","['youtubecodytolleson', 'for', 'awesome', 'videos', 'ill', 'subscribe', 'back']","['youtubecodytolleson', 'awesome', 'videos', 'ill', 'subscribe']","['youtubecodytolleson', 'awesome', 'video', 'ill', 'subscribe']"
if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channelï»¿,1,if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channelï»¿,if you like roblox minecraft world of warcraft gta5 mario suscribe to my channel,if you like roblox minecraft world of warcraft mario suscribe to my channel,"['if', 'you', 'like', 'roblox', 'minecraft', 'world', 'of', 'warcraft', 'mario', 'suscribe', 'to', 'my', 'channel']","['if', 'you', 'like', 'roblox', 'minecraft', 'world', 'of', 'warcraft', 'mario', 'suscribe', 'to', 'my', 'channel']","['like', 'roblox', 'minecraft', 'world', 'warcraft', 'mario', 'suscribe', 'channel']","['like', 'roblox', 'minecraft', 'world', 'warcraft', 'mario', 'suscribe', 'channel']"
