CONTENT,CLASS,content_lower,content_lower_rn,content_tokenized,normalized,content_stopwords,content_lemma
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1,"we are an edm apparel company dedicated to bringing you music inspired  designs. our clothing is perfect for any rave or music festival. we have  neon crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  facebook or on instagraml for free giveaways news and more!! visit our site  at oncueapparel﻿",we are an edm apparel company dedicated to bringing you music inspired designs our clothing is perfect for any rave or music festival we have neon crop tops tank tops t shirts v necks and accessories follow us on facebook or on instagraml for free giveaways news and more visit our site at oncueapparel,"['we', 'are', 'an', 'edm', 'apparel', 'company', 'dedicated', 'to', 'bringing', 'you', 'music', 'inspired', 'designs', 'our', 'clothing', 'is', 'perfect', 'for', 'any', 'rave', 'or', 'music', 'festival', 'we', 'have', 'neon', 'crop', 'tops', 'tank', 'tops', 't', 'shirts', 'v', 'necks', 'and', 'accessories', 'follow', 'us', 'on', 'facebook', 'or', 'on', 'instagraml', 'for', 'free', 'giveaways', 'news', 'and', 'more', 'visit', 'our', 'site', 'at', 'oncueapparel']",we are an edm apparel company dedicated to bringing you music inspired designs our clothing is perfect for any rave or music festival we have neon crop tops tank tops t shirts v necks and accessories follow us on facebook or on instagraml for free giveaways news and more visit our site at oncueapparel,"['edm', 'apparel', 'company', 'dedicated', 'bringing', 'music', 'inspired', 'designs', 'clothing', 'perfect', 'rave', 'music', 'festival', 'neon', 'crop', 'tops', 'tank', 'tops', 'shirts', 'necks', 'accessories', 'follow', 'facebook', 'instagraml', 'free', 'giveaways', 'news', 'visit', 'site', 'oncueapparel']","['edm', 'apparel', 'company', 'dedicate', 'bring', 'music', 'inspire', 'design', 'clothe', 'perfect', 'rave', 'music', 'festival', 'neon', 'crop', 'top', 'tank', 'tops', 'shirt', 'neck', 'accessory', 'follow', 'facebook', 'instagraml', 'free', 'giveaway', 'news', 'visit', 'site', 'oncueapparel']"
i think about 100 millions of the views come from people who only wanted to  check the views﻿,0,i think about 100 millions of the views come from people who only wanted to  check the views﻿,i think about numeric millions of the views come from people who only wanted to check the views,"['i', 'think', 'about', 'numeric', 'millions', 'of', 'the', 'views', 'come', 'from', 'people', 'who', 'only', 'wanted', 'to', 'check', 'the', 'views']",i think about numeric millions of the views come from people who only wanted to check the views,"['numeric', 'millions', 'views', 'who', 'wanted', 'check', 'views']","['numeric', 'million', 'view', 'who', 'want', 'check', 'view']"
subscribe to my channel people :D﻿,1,subscribe to my channel people :d﻿,subscribe to my channel people d,"['subscribe', 'to', 'my', 'channel', 'people', 'd']",subscribe to my channel people d,"['subscribe', 'channel']","['subscribe', 'channel']"
Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿,1,show your auburn pride here: http://www.teespring.com/tigermeathoodie﻿,show your auburn pride here url,"['show', 'your', 'auburn', 'pride', 'here', 'url']",show your auburn pride here url,"['show', 'auburn', 'pride', 'url']","['show', 'auburn', 'pride', 'url']"
just checking the views﻿,0,just checking the views﻿,just checking the views,"['just', 'checking', 'the', 'views']",just checking the views,"['checking', 'views']","['check', 'view']"
CHECK OUT MY CHANNEL,1,check out my channel,check out my channel,"['check', 'out', 'my', 'channel']",check out my channel,"['check', 'channel']","['check', 'channel']"
marketglory . com/strategygame/andrijamatf earn real money from game,1,marketglory . com/strategygame/andrijamatf earn real money from game,url strategygame andrijamatf earn real money from game,"['url', 'strategygame', 'andrijamatf', 'earn', 'real', 'money', 'from', 'game']",url strategygame andrijamatf earn real money from game,"['url', 'strategygame', 'andrijamatf', 'earn', 'real', 'money', 'game']","['url', 'strategygame', 'andrijamatf', 'earn', 'real', 'money', 'game']"
Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,1,hey guys! im a 12 yr old music producer. i make chiptunes and 8bit music.  it would be wonderful if you checked out some of my 8bit remixes! i even  have a gangnamstyle 8bit remix if you would like to check that out ;)  thanks!!,hey guys im a numeric yr old music producer i make chiptunes and 8bit music it would be wonderful if you checked out some of my 8bit remixes i even have a gangnamstyle 8bit remix if you would like to check that out thanks,"['hey', 'guys', 'im', 'a', 'numeric', 'year', 'old', 'music', 'producer', 'i', 'make', 'chiptunes', 'and', '8bit', 'music', 'it', 'would', 'be', 'wonderful', 'if', 'you', 'checked', 'out', 'some', 'of', 'my', '8bit', 'remix', 'i', 'even', 'have', 'a', 'gangnamstyle', '8bit', 'remix', 'if', 'you', 'would', 'like', 'to', 'check', 'that', 'out', 'thank']",hey guys im a numeric year old music producer i make chiptunes and 8bit music it would be wonderful if you checked out some of my 8bit remix i even have a gangnamstyle 8bit remix if you would like to check that out thank,"['hey', 'numeric', 'year', 'old', 'music', 'producer', 'chiptunes', '8bit', 'music', 'wonderful', 'checked', '8bit', 'remix', 'gangnamstyle', '8bit', 'remix', 'like', 'check', 'thank']","['hey', 'numeric', 'year', 'old', 'music', 'producer', 'chiptunes', '8bit', 'music', 'wonderful', 'check', '8bit', 'remix', 'gangnamstyle', '8bit', 'remix', 'like', 'check', 'thank']"
Check me out! I'm kyle. I rap so yeah ﻿,1,check me out! i'm kyle. i rap so yeah ﻿,check me out i m kyle i rap so yeah,"['check', 'me', 'out', 'i', 'm', 'kyle', 'i', 'rap', 'so', 'yeah']",check me out i m kyle i rap so yeah,"['check', 'kyle', 'rap', 'yeah']","['check', 'kyle', 'rap', 'yeah']"
I dont even watch it anymore i just come here to check on 2 Billion or not﻿,0,i dont even watch it anymore i just come here to check on 2 billion or not﻿,i dont even watch it anymore i just come here to check on numeric billion or not,"['i', 'dont', 'even', 'watch', 'it', 'anymore', 'i', 'just', 'come', 'here', 'to', 'check', 'on', 'numeric', 'billion', 'or', 'not']",i dont even watch it anymore i just come here to check on numeric billion or not,"['dont', 'watch', 'anymore', 'check', 'numeric', 'billion']","['dont', 'watch', 'anymore', 'check', 'numeric', 'billion']"
"Subscribe to me for free Android games, apps.. ﻿",1,"subscribe to me for free android games, apps.. ﻿",subscribe to me for free android games apps,"['subscribe', 'to', 'me', 'for', 'free', 'android', 'game', 'app']",subscribe to me for free android game app,"['subscribe', 'free', 'android', 'game', 'app']","['subscribe', 'free', 'android', 'game', 'app']"
everyone please come check our newest song in memories of Martin Luther  King Jr.﻿,1,everyone please come check our newest song in memories of martin luther  king jr.﻿,everyone please come check our newest song in memories of martin luther king jr,"['everyone', 'please', 'come', 'check', 'our', 'newest', 'song', 'in', 'memories', 'of', 'martin', 'luther', 'king', 'jr']",everyone please come check our newest song in memories of martin luther king jr,"['everyone', 'check', 'newest', 'song', 'memories', 'martin', 'luther', 'king', 'jr']","['everyone', 'check', 'new', 'song', 'memory', 'martin', 'luther', 'king', 'jr']"
"Came here to check the views, goodbye.﻿",0,"came here to check the views, goodbye.﻿",came here to check the views goodbye,"['came', 'here', 'to', 'check', 'the', 'views', 'goodbye']",came here to check the views goodbye,"['check', 'views', 'goodbye']","['check', 'view', 'goodbye']"
sub my channel for no reason -_-﻿,1,sub my channel for no reason -_-﻿,sub my channel for no reason,"['subscribe', 'my', 'channel', 'for', 'no', 'reason']",subscribe my channel for no reason,"['subscribe', 'channel', 'reason']","['subscribe', 'channel', 'reason']"
"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o﻿",1,"check out my dubstep song ""fireball"", made with fruity loops. i really took  time in it.  /watch?v=teloa6rio8o﻿",check out my dubstep song fireball made with fruity loops i really took time in it url,"['check', 'out', 'my', 'dubstep', 'song', 'fireball', 'made', 'with', 'fruity', 'loops', 'i', 'really', 'took', 'time', 'in', 'it', 'url']",check out my dubstep song fireball made with fruity loops i really took time in it url,"['check', 'dubstep', 'song', 'fireball', 'fruity', 'loops', 'really', 'url']","['check', 'dubstep', 'song', 'fireball', 'fruity', 'loop', 'really', 'url']"
2 billion....Coming soon﻿,0,2 billion....coming soon﻿,numeric billion coming soon,"['numeric', 'billion', 'coming', 'soon']",numeric billion coming soon,"['numeric', 'billion', 'soon']","['numeric', 'billion', 'soon']"
Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ﻿,0,why dafuq is a korean song so big in the usa. does that mean we support  koreans? last time i checked they wanted to bomb us. ﻿,why dafuq is a korean song so big in the usa does that mean we support koreans last time i checked they wanted to bomb us,"['why', 'dafuq', 'is', 'a', 'korean', 'song', 'so', 'big', 'in', 'the', 'usa', 'does', 'that', 'mean', 'we', 'support', 'koreans', 'last', 'time', 'i', 'checked', 'they', 'wanted', 'to', 'bomb', 'us']",why dafuq is a korean song so big in the usa does that mean we support koreans last time i checked they wanted to bomb us,"['dafuq', 'korean', 'song', 'big', 'usa', 'mean', 'support', 'koreans', 'checked', 'wanted', 'bomb']","['dafuq', 'korean', 'song', 'big', 'usa', 'mean', 'support', 'korean', 'check', 'wanted', 'bomb']"
Check my channel please! And listen to the best music ever :P﻿,1,check my channel please! and listen to the best music ever :p﻿,check my channel please and listen to the best music ever p,"['check', 'my', 'channel', 'please', 'and', 'listen', 'to', 'the', 'best', 'music', 'ever', 'p']",check my channel please and listen to the best music ever p,"['check', 'channel', 'listen', 'best', 'music', 'p']","['check', 'channel', 'listen', 'best', 'music', 'p']"
SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS﻿,1,sub 4 sub please like this comment i want a succesfull youtube so pplease like this  comment and subscribe it only takes 10 seconds please if you subscribe ill  subscribe back thanks﻿,sub numeric sub please like this comment i want a succesfull youtube so pplease like this comment and subscribe it only takes numeric seconds please if you subscribe ill subscribe back thanks,"['subscribe', 'numeric', 'subscribe', 'please', 'like', 'this', 'comment', 'i', 'want', 'a', 'succesfull', 'youtube', 'so', 'please', 'like', 'this', 'comment', 'and', 'subscribe', 'it', 'only', 'takes', 'numeric', 'seconds', 'please', 'if', 'you', 'subscribe', 'ill', 'subscribe', 'back', 'thank']",subscribe numeric subscribe please like this comment i want a succesfull youtube so please like this comment and subscribe it only takes numeric seconds please if you subscribe ill subscribe back thank,"['subscribe', 'numeric', 'subscribe', 'like', 'comment', 'want', 'succesfull', 'youtube', 'like', 'comment', 'subscribe', 'numeric', 'seconds', 'subscribe', 'subscribe', 'thank']","['subscribe', 'numeric', 'subscribe', 'like', 'comment', 'want', 'succesfull', 'youtube', 'like', 'comment', 'subscribe', 'numeric', 'second', 'subscribe', 'subscribe', 'thank']"
" Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN﻿",1," hey everyone!! i have just started my first yt channel i would be grateful  if some of you peoples could check out my first clip in bf4! and give me  some advice on how my video was and how i could improve it. also be sure to  go check out the about to see what im all about. thanks for your time :) .  and to haters... you hate, i win﻿",hey everyone i have just started my first yt channel i would be grateful if some of you peoples could check out my first clip in bf4 and give me some advice on how my video was and how i could improve it also be sure to go check out the about to see what im all about thanks for your time and to haters you hate i win,"['hey', 'everyone', 'i', 'have', 'just', 'started', 'my', 'first', 'youtube', 'channel', 'i', 'would', 'be', 'grateful', 'if', 'some', 'of', 'you', 'peoples', 'could', 'check', 'out', 'my', 'first', 'clip', 'in', 'bf4', 'and', 'give', 'me', 'some', 'advice', 'on', 'how', 'my', 'video', 'was', 'and', 'how', 'i', 'could', 'improve', 'it', 'also', 'be', 'sure', 'to', 'go', 'check', 'out', 'the', 'about', 'to', 'see', 'what', 'im', 'all', 'about', 'thank', 'for', 'your', 'time', 'and', 'to', 'haters', 'you', 'hate', 'i', 'win']",hey everyone i have just started my first youtube channel i would be grateful if some of you peoples could check out my first clip in bf4 and give me some advice on how my video was and how i could improve it also be sure to go check out the about to see what im all about thank for your time and to haters you hate i win,"['hey', 'everyone', 'started', 'first', 'youtube', 'channel', 'grateful', 'peoples', 'check', 'first', 'clip', 'bf4', 'advice', 'video', 'improve', 'sure', 'check', 'thank', 'haters', 'hate', 'win']","['hey', 'everyone', 'start', 'first', 'youtube', 'channel', 'grateful', 'people', 'check', 'first', 'clip', 'bf4', 'advice', 'video', 'improve', 'sure', 'check', 'thank', 'hater', 'hate', 'win']"
"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿",1,"the projects after effects, music, foto, web sites and another you can find  and buy here  http://audiojungle.net/user/eugenekalinin/portfolio?ref=eugenekalinin﻿",the projects after effects music foto web sites and another you can find and buy here url,"['the', 'projects', 'after', 'effects', 'music', 'foto', 'website', 'sites', 'and', 'another', 'you', 'can', 'find', 'and', 'buy', 'here', 'url']",the projects after effects music foto website sites and another you can find and buy here url,"['projects', 'effects', 'music', 'foto', 'website', 'sites', 'find', 'buy', 'url']","['project', 'effect', 'music', 'foto', 'website', 'sit', 'find', 'buy', 'url']"
YouTube/codytolleson for awesome videos I'll subscribe back ﻿,1,youtube/codytolleson for awesome videos i'll subscribe back ﻿,youtube codytolleson for awesome videos i ll subscribe back,"['youtube', 'codytolleson', 'for', 'awesome', 'videos', 'i', 'll', 'subscribe', 'back']",youtube codytolleson for awesome videos i ll subscribe back,"['youtube', 'codytolleson', 'awesome', 'videos', 'subscribe']","['youtube', 'codytolleson', 'awesome', 'video', 'subscribe']"
if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿,1,if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿,if you like roblox minecraft world of warcraft gta5 mario suscribe to my channel,"['if', 'you', 'like', 'roblox', 'minecraft', 'world', 'of', 'warcraft', 'gta5', 'mario', 'subscribe', 'to', 'my', 'channel']",if you like roblox minecraft world of warcraft gta5 mario subscribe to my channel,"['like', 'roblox', 'minecraft', 'world', 'warcraft', 'gta5', 'mario', 'subscribe', 'channel']","['like', 'roblox', 'minecraft', 'world', 'warcraft', 'gta5', 'mario', 'subscribe', 'channel']"
SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ﻿,1,subscribe to me and i'll subscribe to you! (must like - czfcxsn0jnq) ﻿,subscribe to me and i ll subscribe to you must like czfcxsn0jnq,"['subscribe', 'to', 'me', 'and', 'i', 'll', 'subscribe', 'to', 'you', 'must', 'like', 'czfcxsn0jnq']",subscribe to me and i ll subscribe to you must like czfcxsn0jnq,"['subscribe', 'subscribe', 'like', 'czfcxsn0jnq']","['subscribe', 'subscribe', 'like', 'czfcxsn0jnq']"
http://www.twitch.tv/jaroadc come follow and watch my stream!﻿,1,http://www.twitch.tv/jaroadc come follow and watch my stream!﻿,url come follow and watch my stream,"['url', 'come', 'follow', 'and', 'watch', 'my', 'stream']",url come follow and watch my stream,"['url', 'follow', 'watch', 'stream']","['url', 'follow', 'watch', 'stream']"
"if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound  Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen)   COMMENT TELL ME WHAT YOU THINK  DONT BE LAZY!!!!  - 1/7 Prophetz﻿",1,"if you like raw talent, raw lyrics, straight real hip hop everyone check my newest sound  dizzy x - got the juice (prod by. drugs the model citizen)   comment tell me what you think  dont be lazy!!!!  - 1/7 prophetz﻿",if you like raw talent raw lyrics straight real hip hop everyone check my newest sound dizzy x got the juice prod by drugs the model citizen comment tell me what you think dont be lazy numeric numeric prophetz,"['if', 'you', 'like', 'raw', 'talent', 'raw', 'lyrics', 'straight', 'real', 'hip', 'hop', 'everyone', 'check', 'my', 'newest', 'sound', 'dizzy', 'x', 'got', 'the', 'juice', 'prod', 'by', 'drugs', 'the', 'model', 'citizen', 'comment', 'tell', 'me', 'what', 'you', 'think', 'dont', 'be', 'lazy', 'numeric', 'numeric', 'prophetz']",if you like raw talent raw lyrics straight real hip hop everyone check my newest sound dizzy x got the juice prod by drugs the model citizen comment tell me what you think dont be lazy numeric numeric prophetz,"['like', 'raw', 'talent', 'raw', 'lyrics', 'straight', 'real', 'hip', 'hop', 'everyone', 'check', 'newest', 'sound', 'dizzy', 'x', 'juice', 'prod', 'drugs', 'model', 'citizen', 'comment', 'dont', 'lazy', 'numeric', 'numeric', 'prophetz']","['like', 'raw', 'talent', 'raw', 'lyric', 'straight', 'real', 'hip', 'hop', 'everyone', 'check', 'new', 'sound', 'dizzy', 'x', 'juice', 'prod', 'drug', 'model', 'citizen', 'comment', 'dont', 'lazy', 'numeric', 'numeric', 'prophetz']"
....subscribe......  ......to my........  .....channel.......﻿,1,....subscribe......  ......to my........  .....channel.......﻿,subscribe to my channel,"['subscribe', 'to', 'my', 'channel']",subscribe to my channel,"['subscribe', 'channel']","['subscribe', 'channel']"
"now its 1,884,034,783 views! pls. comment the view count the next hour :P﻿",0,"now its 1,884,034,783 views! pls. comment the view count the next hour :p﻿",now its numeric numeric numeric numeric views pls comment the view count the next hour p,"['now', 'its', 'numeric', 'numeric', 'numeric', 'numeric', 'views', 'please', 'comment', 'the', 'view', 'count', 'the', 'next', 'hour', 'p']",now its numeric numeric numeric numeric views please comment the view count the next hour p,"['now', 'numeric', 'numeric', 'numeric', 'numeric', 'views', 'comment', 'view', 'count', 'hour', 'p']","['now', 'numeric', 'numeric', 'numeric', 'numeric', 'view', 'comment', 'view', 'count', 'hour', 'p']"
http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ﻿,1,http://www.avaaz.org/po/petition/youtube_corporation_fox_broadcasting_company_anular_os_strikes_no_canal_nostalgia/?cxpzpgb ﻿,url,['url'],url,['url'],['url']
go here to check the views :3﻿,0,go here to check the views :3﻿,go here to check the views numeric,"['go', 'here', 'to', 'check', 'the', 'views', 'numeric']",go here to check the views numeric,"['check', 'views', 'numeric']","['check', 'view', 'numeric']"
thumbs up if u checked this video to see hw views it got﻿,0,thumbs up if u checked this video to see hw views it got﻿,thumbs up if u checked this video to see hw views it got,"['thumb', 'up', 'if', 'you', 'checked', 'this', 'video', 'to', 'see', 'hw', 'views', 'it', 'got']",thumb up if you checked this video to see hw views it got,"['thumb', 'checked', 'video', 'hw', 'views']","['thumb', 'check', 'video', 'hw', 'view']"
Plz subscribe to my channel and I will subscribe back xx﻿,1,plz subscribe to my channel and i will subscribe back xx﻿,plz subscribe to my channel and i will subscribe back xx,"['please', 'subscribe', 'to', 'my', 'channel', 'and', 'i', 'will', 'subscribe', 'back', 'xx']",please subscribe to my channel and i will subscribe back xx,"['subscribe', 'channel', 'subscribe']","['subscribe', 'channel', 'subscribe']"
i check back often to help reach 2x10^9 views and I avoid watching Baby﻿,0,i check back often to help reach 2x10^9 views and i avoid watching baby﻿,i check back often to help reach 2x10 numeric views and i avoid watching baby,"['i', 'check', 'back', 'often', 'to', 'help', 'reach', '2x10', 'numeric', 'views', 'and', 'i', 'avoid', 'watching', 'baby']",i check back often to help reach 2x10 numeric views and i avoid watching baby,"['check', 'help', 'reach', '2x10', 'numeric', 'views', 'avoid', 'watching', 'baby']","['check', 'help', 'reach', '2x10', 'numeric', 'view', 'avoid', 'watch', 'baby']"
