CONTENT,CLASS,content_lower,normalized,content_rn,content_tokenized,content_filter,content_stopwords,content_stemm
Hey subscribe to me﻿,1,hey subscribe to me﻿,hey subscribe to me﻿,hey subscribe to me,"['hey', 'subscribe', 'to', 'me']","['hey', 'subscribe', 'to', 'me']","['hey', 'subscribe', 'me']","['hey', 'subscrib', 'me']"
 Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,1, once you have started reading do not stop. if you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿, once you have started read do not stop. if you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,once you have started read do not stop if you do not subscribe to me within one day you and you re entire family will die so if you want to stay alive subscribe right now,"['once', 'you', 'have', 'started', 'read', 'do', 'not', 'stop', 'if', 'you', 'do', 'not', 'subscribe', 'to', 'me', 'within', 'one', 'day', 'you', 'and', 'you', 're', 'entire', 'family', 'will', 'die', 'so', 'if', 'you', 'want', 'to', 'stay', 'alive', 'subscribe', 'right', 'now']","['once', 'you', 'have', 'started', 'read', 'do', 'not', 'stop', 'if', 'you', 'do', 'not', 'subscribe', 'to', 'me', 'within', 'one', 'day', 'you', 'and', 'you', 'entire', 'family', 'will', 'die', 'so', 'if', 'you', 'want', 'to', 'stay', 'alive', 'subscribe', 'right', 'now']","['once', 'you', 'started', 'read', 'not', 'stop', 'you', 'not', 'subscribe', 'me', 'within', 'one', 'day', 'you', 'you', 'entire', 'family', 'will', 'die', 'so', 'you', 'want', 'stay', 'alive', 'subscribe', 'right', 'now']","['onc', 'you', 'start', 'read', 'not', 'stop', 'you', 'not', 'subscrib', 'me', 'within', 'one', 'day', 'you', 'you', 'entir', 'famili', 'will', 'die', 'so', 'you', 'want', 'stay', 'aliv', 'subscrib', 'right', 'now']"
https://twitter.com/GBphotographyGB﻿,1,https://twitter.com/gbphotographygb﻿,https://twitter.com/gbphotographygb﻿,url,['url'],['url'],['url'],['url']
subscribe like comment﻿,1,subscribe like comment﻿,subscribe like comment﻿,subscribe like comment,"['subscribe', 'like', 'comment']","['subscribe', 'like', 'comment']","['subscribe', 'like', 'comment']","['subscrib', 'like', 'comment']"
please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,1,please like :d https://premium.easypromosapp.com/voteme/19924/616375350﻿,please like :d https://premium.easypromosapp.com/voteme/19924/616375350﻿,please like d url,"['please', 'like', 'd', 'url']","['please', 'like', 'url']","['please', 'like', 'url']","['pleas', 'like', 'url']"
"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿",1,"hello! do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? if you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... you can also check out what  we've got so far!﻿","hello! do you like game, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? if you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... you can also check out what  we've got so far!﻿",hello do you like game art videos scientific experiments tutorials lyrics videos and much much more of that if you do please check out our channel and subscribe to it we ve just started but soon we hope we will be able to cover all of our expectations you can also check out what we ve got so far,"['hello', 'do', 'you', 'like', 'game', 'art', 'videos', 'scientific', 'experiments', 'tutorials', 'lyrics', 'videos', 'and', 'much', 'much', 'more', 'of', 'that', 'if', 'you', 'do', 'please', 'check', 'out', 'our', 'channel', 'and', 'subscribe', 'to', 'it', 'we', 've', 'just', 'started', 'but', 'soon', 'we', 'hope', 'we', 'will', 'be', 'able', 'to', 'cover', 'all', 'of', 'our', 'expectations', 'you', 'can', 'also', 'check', 'out', 'what', 'we', 've', 'got', 'so', 'far']","['hello', 'do', 'you', 'like', 'game', 'art', 'videos', 'scientific', 'experiments', 'tutorials', 'lyrics', 'videos', 'and', 'much', 'much', 'more', 'of', 'that', 'if', 'you', 'do', 'please', 'check', 'out', 'our', 'channel', 'and', 'subscribe', 'to', 'it', 'we', 'just', 'started', 'but', 'soon', 'we', 'hope', 'we', 'will', 'be', 'able', 'to', 'cover', 'all', 'of', 'our', 'expectations', 'you', 'can', 'also', 'check', 'out', 'what', 'we', 'got', 'so', 'far']","['hello', 'you', 'like', 'game', 'art', 'videos', 'scientific', 'experiments', 'tutorials', 'lyrics', 'videos', 'much', 'much', 'more', 'you', 'please', 'check', 'channel', 'subscribe', 'just', 'started', 'soon', 'hope', 'will', 'able', 'cover', 'all', 'expectations', 'you', 'can', 'also', 'check', 'got', 'so', 'far']","['hello', 'you', 'like', 'game', 'art', 'video', 'scientif', 'experi', 'tutori', 'lyric', 'video', 'much', 'much', 'more', 'you', 'pleas', 'check', 'channel', 'subscrib', 'just', 'start', 'soon', 'hope', 'will', 'abl', 'cover', 'all', 'expect', 'you', 'can', 'also', 'check', 'got', 'so', 'far']"
I'm only checking the views﻿,0,i'm only checking the views﻿,i'm only checking the views﻿,i m only checking the views,"['i', 'm', 'only', 'checking', 'the', 'views']","['i', 'only', 'checking', 'the', 'views']","['i', 'only', 'checking', 'views']","['i', 'onli', 'check', 'view']"
http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1,http://www.ebay.com/itm/171183229277?sspagename=strk:meselx:it&amp;_trksid=p3984.m1555.l2649 ﻿,http://www.ebay.com/itm/171183229277?sspagename=strk:meselx:it&amp;_trksid=p3984.m1555.l2649 ﻿,url meselx it _trksid p3984 m1555 l2649,"['url', 'meselx', 'it', '_trksid', 'p3984', 'm1555', 'l2649']","['url', 'meselx', 'it', '_trksid', 'p3984', 'm1555', 'l2649']","['url', 'meselx', '_trksid', 'p3984', 'm1555', 'l2649']","['url', 'meselx', '_trksid', 'p3984', 'm1555', 'l2649']"
http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿,1,http://ubuntuone.com/40beuutvu2zkxk4utgpz8k﻿,http://ubuntuone.com/40beuutvu2zkxk4utgpz8k﻿,url,['url'],['url'],['url'],['url']
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1,"we are an edm apparel company dedicated to bringing you music inspired  designs. our clothing is perfect for any rave or music festival. we have  neon crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  facebook or on instagraml for free giveaways news and more!! visit our site  at oncueapparel﻿","we are an edm apparel company dedicated to bringing you music inspired  designs. our clothing is perfect for any rave or music festival. we have  neon crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  facebook or on instagraml for free giveaways news and more!! visit our site  at oncueapparel﻿",we are an edm apparel company dedicated to bringing you music inspired designs our clothing is perfect for any rave or music festival we have neon crop tops tank tops t shirts v necks and accessories follow us on facebook or on instagraml for free giveaways news and more visit our site at oncueapparel,"['we', 'are', 'an', 'edm', 'apparel', 'company', 'dedicated', 'to', 'bringing', 'you', 'music', 'inspired', 'designs', 'our', 'clothing', 'is', 'perfect', 'for', 'any', 'rave', 'or', 'music', 'festival', 'we', 'have', 'neon', 'crop', 'tops', 'tank', 'tops', 't', 'shirts', 'v', 'necks', 'and', 'accessories', 'follow', 'us', 'on', 'facebook', 'or', 'on', 'instagraml', 'for', 'free', 'giveaways', 'news', 'and', 'more', 'visit', 'our', 'site', 'at', 'oncueapparel']","['we', 'are', 'an', 'edm', 'apparel', 'company', 'dedicated', 'to', 'bringing', 'you', 'music', 'inspired', 'designs', 'our', 'clothing', 'is', 'perfect', 'for', 'any', 'rave', 'or', 'music', 'festival', 'we', 'have', 'neon', 'crop', 'tops', 'tank', 'tops', 'shirts', 'necks', 'and', 'accessories', 'follow', 'us', 'on', 'facebook', 'or', 'on', 'instagraml', 'for', 'free', 'giveaways', 'news', 'and', 'more', 'visit', 'our', 'site', 'at', 'oncueapparel']","['edm', 'apparel', 'company', 'dedicated', 'bringing', 'you', 'music', 'inspired', 'designs', 'clothing', 'perfect', 'any', 'rave', 'music', 'festival', 'neon', 'crop', 'tops', 'tank', 'tops', 'shirts', 'necks', 'accessories', 'follow', 'us', 'facebook', 'instagraml', 'free', 'giveaways', 'news', 'more', 'visit', 'site', 'oncueapparel']","['edm', 'apparel', 'compani', 'dedic', 'bring', 'you', 'music', 'inspir', 'design', 'cloth', 'perfect', 'ani', 'rave', 'music', 'festiv', 'neon', 'crop', 'top', 'tank', 'top', 'shirt', 'neck', 'accessori', 'follow', 'us', 'facebook', 'instagraml', 'free', 'giveaway', 'news', 'more', 'visit', 'site', 'oncueapparel']"
i think about 100 millions of the views come from people who only wanted to  check the views﻿,0,i think about 100 millions of the views come from people who only wanted to  check the views﻿,i think about 100 millions of the views come from people who only wanted to  check the views﻿,i think about numeric millions of the views come from people who only wanted to check the views,"['i', 'think', 'about', 'numeric', 'millions', 'of', 'the', 'views', 'come', 'from', 'people', 'who', 'only', 'wanted', 'to', 'check', 'the', 'views']","['i', 'think', 'about', 'numeric', 'millions', 'of', 'the', 'views', 'come', 'from', 'people', 'who', 'only', 'wanted', 'to', 'check', 'the', 'views']","['i', 'think', 'numeric', 'millions', 'views', 'come', 'people', 'only', 'wanted', 'check', 'views']","['i', 'think', 'numer', 'million', 'view', 'come', 'peopl', 'onli', 'want', 'check', 'view']"
subscribe to my channel people :D﻿,1,subscribe to my channel people :d﻿,subscribe to my channel people :d﻿,subscribe to my channel people d,"['subscribe', 'to', 'my', 'channel', 'people', 'd']","['subscribe', 'to', 'my', 'channel', 'people']","['subscribe', 'my', 'channel', 'people']","['subscrib', 'my', 'channel', 'peopl']"
Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿,1,show your auburn pride here: http://www.teespring.com/tigermeathoodie﻿,show your auburn pride here: http://www.teespring.com/tigermeathoodie﻿,show your auburn pride here url,"['show', 'your', 'auburn', 'pride', 'here', 'url']","['show', 'your', 'auburn', 'pride', 'here', 'url']","['show', 'your', 'auburn', 'pride', 'url']","['show', 'your', 'auburn', 'pride', 'url']"
just checking the views﻿,0,just checking the views﻿,just checking the views﻿,just checking the views,"['just', 'checking', 'the', 'views']","['just', 'checking', 'the', 'views']","['just', 'checking', 'views']","['just', 'check', 'view']"
CHECK OUT MY CHANNEL,1,check out my channel,check out my channel,check out my channel,"['check', 'out', 'my', 'channel']","['check', 'out', 'my', 'channel']","['check', 'my', 'channel']","['check', 'my', 'channel']"
marketglory . com/strategygame/andrijamatf earn real money from game,1,marketglory . com/strategygame/andrijamatf earn real money from game,marketglory . com/strategygame/andrijamatf earn real money from game,url strategygame andrijamatf earn real money from game,"['url', 'strategygame', 'andrijamatf', 'earn', 'real', 'money', 'from', 'game']","['url', 'strategygame', 'andrijamatf', 'earn', 'real', 'money', 'from', 'game']","['url', 'strategygame', 'andrijamatf', 'earn', 'real', 'money', 'game']","['url', 'strategygam', 'andrijamatf', 'earn', 'real', 'money', 'game']"
Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,1,hey guys! im a 12 yr old music producer. i make chiptunes and 8bit music.  it would be wonderful if you checked out some of my 8bit remixes! i even  have a gangnamstyle 8bit remix if you would like to check that out ;)  thanks!!,hey guys! im a 12 year old music producer. i make chiptunes and 8bit music.  it would be wonderful if you checked out some of my 8bit remix! i even  have a gangnamstyle 8bit remix if you would like to check that out ;)  thank!!,hey guys im a numeric year old music producer i make chiptunes and 8bit music it would be wonderful if you checked out some of my 8bit remix i even have a gangnamstyle 8bit remix if you would like to check that out thank,"['hey', 'guys', 'im', 'a', 'numeric', 'year', 'old', 'music', 'producer', 'i', 'make', 'chiptunes', 'and', '8bit', 'music', 'it', 'would', 'be', 'wonderful', 'if', 'you', 'checked', 'out', 'some', 'of', 'my', '8bit', 'remix', 'i', 'even', 'have', 'a', 'gangnamstyle', '8bit', 'remix', 'if', 'you', 'would', 'like', 'to', 'check', 'that', 'out', 'thank']","['hey', 'guys', 'a', 'numeric', 'year', 'old', 'music', 'producer', 'i', 'make', 'chiptunes', 'and', '8bit', 'music', 'it', 'would', 'be', 'wonderful', 'if', 'you', 'checked', 'out', 'some', 'of', 'my', '8bit', 'remix', 'i', 'even', 'have', 'a', 'gangnamstyle', '8bit', 'remix', 'if', 'you', 'would', 'like', 'to', 'check', 'that', 'out', 'thank']","['hey', 'guys', 'numeric', 'year', 'old', 'music', 'producer', 'i', 'make', 'chiptunes', '8bit', 'music', 'would', 'wonderful', 'you', 'checked', 'some', 'my', '8bit', 'remix', 'i', 'even', 'gangnamstyle', '8bit', 'remix', 'you', 'would', 'like', 'check', 'thank']","['hey', 'guy', 'numer', 'year', 'old', 'music', 'produc', 'i', 'make', 'chiptun', '8bit', 'music', 'would', 'wonder', 'you', 'check', 'some', 'my', '8bit', 'remix', 'i', 'even', 'gangnamstyl', '8bit', 'remix', 'you', 'would', 'like', 'check', 'thank']"
Check me out! I'm kyle. I rap so yeah ﻿,1,check me out! i'm kyle. i rap so yeah ﻿,check me out! i'm kyle. i rap so yeah ﻿,check me out i m kyle i rap so yeah,"['check', 'me', 'out', 'i', 'm', 'kyle', 'i', 'rap', 'so', 'yeah']","['check', 'me', 'out', 'i', 'kyle', 'i', 'rap', 'so', 'yeah']","['check', 'me', 'i', 'kyle', 'i', 'rap', 'so', 'yeah']","['check', 'me', 'i', 'kyle', 'i', 'rap', 'so', 'yeah']"
I dont even watch it anymore i just come here to check on 2 Billion or not﻿,0,i dont even watch it anymore i just come here to check on 2 billion or not﻿,i dont even watch it anymore i just come here to check on 2 billion or not﻿,i dont even watch it anymore i just come here to check on numeric billion or not,"['i', 'dont', 'even', 'watch', 'it', 'anymore', 'i', 'just', 'come', 'here', 'to', 'check', 'on', 'numeric', 'billion', 'or', 'not']","['i', 'dont', 'even', 'watch', 'it', 'anymore', 'i', 'just', 'come', 'here', 'to', 'check', 'on', 'numeric', 'billion', 'or', 'not']","['i', 'dont', 'even', 'watch', 'anymore', 'i', 'just', 'come', 'check', 'numeric', 'billion', 'not']","['i', 'dont', 'even', 'watch', 'anymor', 'i', 'just', 'come', 'check', 'numer', 'billion', 'not']"
"Subscribe to me for free Android games, apps.. ﻿",1,"subscribe to me for free android games, apps.. ﻿","subscribe to me for free android game, app.. ﻿",subscribe to me for free android game app,"['subscribe', 'to', 'me', 'for', 'free', 'android', 'game', 'app']","['subscribe', 'to', 'me', 'for', 'free', 'android', 'game', 'app']","['subscribe', 'me', 'free', 'android', 'game', 'app']","['subscrib', 'me', 'free', 'android', 'game', 'app']"
everyone please come check our newest song in memories of Martin Luther  King Jr.﻿,1,everyone please come check our newest song in memories of martin luther  king jr.﻿,everyone please come check our newest song in memories of martin luther  king jr.﻿,everyone please come check our newest song in memories of martin luther king jr,"['everyone', 'please', 'come', 'check', 'our', 'newest', 'song', 'in', 'memories', 'of', 'martin', 'luther', 'king', 'jr']","['everyone', 'please', 'come', 'check', 'our', 'newest', 'song', 'in', 'memories', 'of', 'martin', 'luther', 'king']","['everyone', 'please', 'come', 'check', 'newest', 'song', 'memories', 'martin', 'luther', 'king']","['everyon', 'pleas', 'come', 'check', 'newest', 'song', 'memori', 'martin', 'luther', 'king']"
"Came here to check the views, goodbye.﻿",0,"came here to check the views, goodbye.﻿","came here to check the views, goodbye.﻿",came here to check the views goodbye,"['came', 'here', 'to', 'check', 'the', 'views', 'goodbye']","['came', 'here', 'to', 'check', 'the', 'views', 'goodbye']","['came', 'check', 'views', 'goodbye']","['came', 'check', 'view', 'goodby']"
sub my channel for no reason -_-﻿,1,sub my channel for no reason -_-﻿,subscribe my channel for no reason -_-﻿,subscribe my channel for no reason,"['subscribe', 'my', 'channel', 'for', 'no', 'reason']","['subscribe', 'my', 'channel', 'for', 'no', 'reason']","['subscribe', 'my', 'channel', 'no', 'reason']","['subscrib', 'my', 'channel', 'no', 'reason']"
"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o﻿",1,"check out my dubstep song ""fireball"", made with fruity loops. i really took  time in it.  /watch?v=teloa6rio8o﻿","check out my dubstep song ""fireball"", made with fruity loops. i really took  time in it.  /watch?v=teloa6rio8o﻿",check out my dubstep song fireball made with fruity loops i really took time in it url,"['check', 'out', 'my', 'dubstep', 'song', 'fireball', 'made', 'with', 'fruity', 'loops', 'i', 'really', 'took', 'time', 'in', 'it', 'url']","['check', 'out', 'my', 'dubstep', 'song', 'fireball', 'made', 'with', 'fruity', 'loops', 'i', 'really', 'took', 'time', 'in', 'it', 'url']","['check', 'my', 'dubstep', 'song', 'fireball', 'made', 'fruity', 'loops', 'i', 'really', 'took', 'time', 'url']","['check', 'my', 'dubstep', 'song', 'firebal', 'made', 'fruiti', 'loop', 'i', 'realli', 'took', 'time', 'url']"
2 billion....Coming soon﻿,0,2 billion....coming soon﻿,2 billion....coming soon﻿,numeric billion coming soon,"['numeric', 'billion', 'coming', 'soon']","['numeric', 'billion', 'coming', 'soon']","['numeric', 'billion', 'coming', 'soon']","['numer', 'billion', 'come', 'soon']"
Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ﻿,0,why dafuq is a korean song so big in the usa. does that mean we support  koreans? last time i checked they wanted to bomb us. ﻿,why dafuq is a korean song so big in the usa. does that mean we support  koreans? last time i checked they wanted to bomb us. ﻿,why dafuq is a korean song so big in the usa does that mean we support koreans last time i checked they wanted to bomb us,"['why', 'dafuq', 'is', 'a', 'korean', 'song', 'so', 'big', 'in', 'the', 'usa', 'does', 'that', 'mean', 'we', 'support', 'koreans', 'last', 'time', 'i', 'checked', 'they', 'wanted', 'to', 'bomb', 'us']","['why', 'dafuq', 'is', 'a', 'korean', 'song', 'so', 'big', 'in', 'the', 'usa', 'does', 'that', 'mean', 'we', 'support', 'koreans', 'last', 'time', 'i', 'checked', 'they', 'wanted', 'to', 'bomb', 'us']","['dafuq', 'korean', 'song', 'so', 'big', 'usa', 'mean', 'support', 'koreans', 'last', 'time', 'i', 'checked', 'wanted', 'bomb', 'us']","['dafuq', 'korean', 'song', 'so', 'big', 'usa', 'mean', 'support', 'korean', 'last', 'time', 'i', 'check', 'want', 'bomb', 'us']"
Check my channel please! And listen to the best music ever :P﻿,1,check my channel please! and listen to the best music ever :p﻿,check my channel please! and listen to the best music ever :p﻿,check my channel please and listen to the best music ever p,"['check', 'my', 'channel', 'please', 'and', 'listen', 'to', 'the', 'best', 'music', 'ever', 'p']","['check', 'my', 'channel', 'please', 'and', 'listen', 'to', 'the', 'best', 'music', 'ever']","['check', 'my', 'channel', 'please', 'listen', 'best', 'music', 'ever']","['check', 'my', 'channel', 'pleas', 'listen', 'best', 'music', 'ever']"
SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS﻿,1,sub 4 sub please like this comment i want a succesfull youtube so pplease like this  comment and subscribe it only takes 10 seconds please if you subscribe ill  subscribe back thanks﻿,subscribe 4 subscribe please like this comment i want a succesfull youtube so please like this  comment and subscribe it only takes 10 seconds please if you subscribe ill  subscribe back thank﻿,subscribe numeric subscribe please like this comment i want a succesfull youtube so please like this comment and subscribe it only takes numeric seconds please if you subscribe ill subscribe back thank,"['subscribe', 'numeric', 'subscribe', 'please', 'like', 'this', 'comment', 'i', 'want', 'a', 'succesfull', 'youtube', 'so', 'please', 'like', 'this', 'comment', 'and', 'subscribe', 'it', 'only', 'takes', 'numeric', 'seconds', 'please', 'if', 'you', 'subscribe', 'ill', 'subscribe', 'back', 'thank']","['subscribe', 'numeric', 'subscribe', 'please', 'like', 'this', 'comment', 'i', 'want', 'a', 'succesfull', 'youtube', 'so', 'please', 'like', 'this', 'comment', 'and', 'subscribe', 'it', 'only', 'takes', 'numeric', 'seconds', 'please', 'if', 'you', 'subscribe', 'ill', 'subscribe', 'back', 'thank']","['subscribe', 'numeric', 'subscribe', 'please', 'like', 'comment', 'i', 'want', 'succesfull', 'youtube', 'so', 'please', 'like', 'comment', 'subscribe', 'only', 'takes', 'numeric', 'seconds', 'please', 'you', 'subscribe', 'ill', 'subscribe', 'back', 'thank']","['subscrib', 'numer', 'subscrib', 'pleas', 'like', 'comment', 'i', 'want', 'succesful', 'youtub', 'so', 'pleas', 'like', 'comment', 'subscrib', 'onli', 'take', 'numer', 'second', 'pleas', 'you', 'subscrib', 'ill', 'subscrib', 'back', 'thank']"
